GCF_ID,Replicon_Acc,Group,Total_tRNA,Size_bp_from_GBFF,log10_Size_bp,GC_Content,tRNA_Group,Coding_Density
GCF_000024625.1,NC_013409.1,Non_tRNA_Plasmid,0,4704,3.6724673130680814,30.08078231292517,tRNA-,70.21683673469387
GCF_000025285.1,NC_013742.1,Non_tRNA_Plasmid,0,2801,3.447313108823568,39.84291324526954,tRNA-,91.181720813995
GCF_000025325.1,NC_013744.1,Non_tRNA_Plasmid,0,698495,5.844163301673992,61.158920249966,tRNA-,81.54474978346302
GCF_000025325.1,NC_013745.1,Non_tRNA_Plasmid,0,413648,5.616630928842135,59.75370363207365,tRNA-,74.61924148067922
GCF_000025325.1,NC_013746.1,Non_tRNA_Plasmid,0,180781,5.257152784387351,54.729755892488704,tRNA-,64.67991658415431
GCF_000025325.1,NC_013747.1,Non_tRNA_Plasmid,0,171943,5.235384499883216,64.60862029858733,tRNA-,78.90463700179711
GCF_000025325.1,NC_013748.1,Non_tRNA_Plasmid,0,71062,4.851637426299112,59.95609467788692,tRNA-,85.5900481269877
GCF_000025325.1,NC_013749.1,Non_tRNA_Plasmid,0,15815,4.199069196251742,58.14732848561492,tRNA-,81.7894404046791
GCF_000025525.1,NC_013888.1,Non_tRNA_Plasmid,0,12197,4.086253023817161,31.647126342543245,tRNA-,69.42690825612856
GCF_000025625.1,NC_013923.1,tRNA_Plasmid,1,378348,5.577891442568792,60.09176736760866,tRNA+,79.7858056603973
GCF_000025625.1,NC_013924.1,Non_tRNA_Plasmid,0,254950,5.406455016303492,56.82329868601686,tRNA-,79.88899784271426
GCF_000025625.1,NC_013925.1,Non_tRNA_Plasmid,0,58487,4.767059345472403,61.89922546890762,tRNA-,93.01383213363654
GCF_000025685.1,NC_013968.1,Non_tRNA_Plasmid,0,85092,4.929888731422162,55.49875428947492,tRNA-,78.02143562262022
GCF_000025685.1,NC_013965.1,Non_tRNA_Plasmid,0,6359,3.803388824983613,56.06227394244379,tRNA-,73.23478534360748
GCF_000025685.1,NC_013964.1,Non_tRNA_Plasmid,0,437906,5.641380895749421,65.55950363776701,tRNA-,85.89468972793247
GCF_000025685.1,NC_013966.1,Non_tRNA_Plasmid,0,635786,5.803310960524825,61.66524585316443,tRNA-,82.97524638793557
GCF_000026045.1,NC_007428.1,Non_tRNA_Plasmid,0,23486,4.370809056545495,60.59354509069232,tRNA-,85.07621561781487
GCF_000026045.1,NC_007427.1,Non_tRNA_Plasmid,0,130989,5.117234826649022,57.22159876020124,tRNA-,81.01672659536297
GCF_000069025.1,NC_010366.1,Non_tRNA_Plasmid,0,147625,5.169159910621572,57.44826418289585,tRNA-,80.68416596104996
GCF_000069025.1,NC_010369.1,Non_tRNA_Plasmid,0,194963,5.289952198949655,58.5900914532501,tRNA-,76.94690787482753
GCF_000069025.1,NC_010368.1,Non_tRNA_Plasmid,0,284332,5.453825739892174,59.78855703895446,tRNA-,83.29030851258388
GCF_000069025.1,NC_010367.1,Non_tRNA_Plasmid,0,40894,4.611659592651788,57.9106959456155,tRNA-,79.37105687875972
GCF_000091665.1,NC_001732.1,Non_tRNA_Plasmid,0,58407,4.766464899838297,28.191079530862083,tRNA-,76.73052887496361
GCF_000091665.1,NC_001733.1,Non_tRNA_Plasmid,0,16550,4.218797998111738,28.88821752265861,tRNA-,83.41993957703927
GCF_000145295.1,NC_014409.1,Non_tRNA_Plasmid,0,4440,3.64738297011462,45.40540540540541,tRNA-,78.10810810810811
GCF_000151105.2,NC_015471.1,Non_tRNA_Plasmid,0,54159,4.733670636871857,38.32234716298306,tRNA-,86.89414501744862
GCF_000172995.2,NC_014735.1,Non_tRNA_Plasmid,0,362194,5.558941251642108,56.10170240257983,tRNA-,85.12813575045418
GCF_000172995.2,NC_014731.1,Non_tRNA_Plasmid,0,339010,5.530212509060796,57.25760302055987,tRNA-,79.89616825462376
GCF_000172995.2,NC_014736.1,Non_tRNA_Plasmid,0,210350,5.322942516353015,56.4559068219634,tRNA-,80.83527454242929
GCF_000172995.2,NC_014732.1,Non_tRNA_Plasmid,0,194834,5.289664746813231,58.82700144738598,tRNA-,84.91536384819898
GCF_000172995.2,NC_014737.1,Non_tRNA_Plasmid,0,17535,4.243905770217522,64.64784716281721,tRNA-,82.919874536641
GCF_000179575.2,NC_015632.1,Non_tRNA_Plasmid,0,14930,4.174059807725025,26.838580040187544,tRNA-,82.08305425318152
GCF_000195935.2,NC_001773.1,Non_tRNA_Plasmid,0,3444,3.537063142781617,43.43786295005807,tRNA-,91.7247386759582
GCF_000196655.1,NC_014254.1,Non_tRNA_Plasmid,0,163915,5.214618698043651,33.636335905804835,tRNA-,80.14946771192386
GCF_000196895.1,NC_014298.1,tRNA_Plasmid,1,406285,5.60883078851523,55.26563865266992,tRNA+,75.43251658318668
GCF_000196895.1,NC_014299.1,Non_tRNA_Plasmid,0,363534,5.560545035062615,54.16329696809652,tRNA-,75.75550017329878
GCF_000196895.1,NC_014300.1,Non_tRNA_Plasmid,0,44576,4.64910109474387,58.90165111270639,tRNA-,80.46033740129218
GCF_000196895.1,NC_014301.1,Non_tRNA_Plasmid,0,44459,4.647959690046146,54.91126656020153,tRNA-,79.40799388200364
GCF_000196895.1,NC_014302.1,Non_tRNA_Plasmid,0,23727,4.37524283026077,47.64192691870021,tRNA-,63.77123108694736
GCF_000196895.1,NC_014303.1,Non_tRNA_Plasmid,0,6951,3.842047288509638,60.5955977557186,tRNA-,50.496331463098834
GCF_000204415.1,NC_015430.1,Non_tRNA_Plasmid,0,18019,4.2557306852816295,43.8814584605139,tRNA-,63.67722959098729
GCF_000217715.1,NC_015658.1,Non_tRNA_Plasmid,0,436718,5.640201092401237,61.532155761841736,tRNA-,81.79168250449948
GCF_000217715.1,NC_015667.1,Non_tRNA_Plasmid,0,181778,5.259541320818005,58.99723838968413,tRNA-,78.70589400257457
GCF_000217715.1,NC_015659.1,Non_tRNA_Plasmid,0,68763,4.837354815877495,62.15115687215509,tRNA-,89.74303040879543
GCF_000223905.1,NC_015944.1,Non_tRNA_Plasmid,0,405816,5.608329165848451,59.887239537130135,tRNA-,83.93951938809707
GCF_000226975.2,NZ_CP019286.1,Non_tRNA_Plasmid,0,216196,5.334847654492417,56.41131195766804,tRNA-,83.0866436011767
GCF_000226975.2,NZ_CP019287.1,Non_tRNA_Plasmid,0,3760,3.575187844927661,61.32978723404256,tRNA-,75.45212765957447
GCF_000230735.2,NC_019967.1,Non_tRNA_Plasmid,0,287800,5.4590907896005865,57.01285615010424,tRNA-,79.47602501737317
GCF_000230735.2,NC_019963.1,Non_tRNA_Plasmid,0,275821,5.440627328688716,58.34436101674637,tRNA-,85.37022199179903
GCF_000235565.1,NC_016637.1,Non_tRNA_Plasmid,0,11991,4.078855402979768,53.97381369360353,tRNA-,75.66508214494203
GCF_000237865.1,NC_017460.1,Non_tRNA_Plasmid,0,6129,3.78738962135211,51.05237395986295,tRNA-,78.15304291075216
GCF_000237865.1,NC_017458.1,Non_tRNA_Plasmid,0,6056,3.782185866492017,52.031043593130775,tRNA-,79.40885072655217
GCF_000237865.1,NC_017457.1,Non_tRNA_Plasmid,0,100258,5.001119036825735,43.85684932873188,tRNA-,68.72169801911069
GCF_000281695.1,NC_018225.1,Non_tRNA_Plasmid,0,95989,4.982221467278966,58.60463178072487,tRNA-,91.3646355311546
GCF_000306765.2,NC_017942.1,Non_tRNA_Plasmid,0,129210,5.111296126482262,57.5574645925238,tRNA-,76.30291773082578
GCF_000306765.2,NC_017943.1,tRNA_Plasmid,1,321908,5.507731769828462,57.89853001478683,tRNA+,85.50703927830311
GCF_000306765.2,NC_017944.1,Non_tRNA_Plasmid,0,504705,5.70303760721368,57.51022874748616,tRNA-,80.02258745207597
GCF_000328665.1,NC_019972.1,tRNA_Plasmid,1,285109,5.455010926845218,35.41733161703068,tRNA+,84.441739825821
GCF_000328685.1,NC_019975.1,Non_tRNA_Plasmid,0,12939,4.111900712865614,54.84195069170724,tRNA-,66.19522374217482
GCF_000328685.1,NC_019976.1,Non_tRNA_Plasmid,0,287963,5.459336689397696,61.31204356115195,tRNA-,80.78989314599445
GCF_000470655.1,NC_021913.1,Non_tRNA_Plasmid,0,330369,5.518999288767679,57.40944216921079,tRNA-,84.06630162030942
GCF_000504565.1,NC_023011.1,Non_tRNA_Plasmid,0,125764,5.099556341913377,55.31392131293534,tRNA-,76.33583537419294
GCF_000504565.1,NC_023012.1,Non_tRNA_Plasmid,0,405815,5.608328095671284,59.88738710988998,tRNA-,83.94342249547208
GCF_000517625.1,NZ_CP007056.1,Non_tRNA_Plasmid,0,573680,5.758669709493661,59.82638404685539,tRNA-,82.7428182959141
GCF_000517625.1,NZ_CP007057.1,Non_tRNA_Plasmid,0,464581,5.667061444457142,56.969613479673086,tRNA-,79.24732178027082
GCF_000517625.1,NZ_CP007058.1,Non_tRNA_Plasmid,0,172663,5.237199282457954,59.19218361779883,tRNA-,82.61179291452135
GCF_000517625.1,NZ_CP007059.1,Non_tRNA_Plasmid,0,130926,5.117025899685025,59.42364389044192,tRNA-,80.95336296839436
GCF_000769655.1,NZ_CP008888.1,Non_tRNA_Plasmid,0,3629,3.5597869682005565,46.70708184072747,tRNA-,80.84871865527694
GCF_000827835.1,NZ_CP010530.1,Non_tRNA_Plasmid,0,405316,5.607793748016445,59.85157260014409,tRNA-,83.87653090428209
GCF_000827835.1,NZ_CP010531.1,Non_tRNA_Plasmid,0,133853,5.126628109320823,55.38912090128724,tRNA-,88.12652686155708
GCF_000827835.1,NZ_CP010532.1,Non_tRNA_Plasmid,0,116496,5.066311013707522,54.203577805246525,tRNA-,80.12206427688504
GCF_000827835.1,NZ_CP010533.1,Non_tRNA_Plasmid,0,104322,5.0183759045059215,53.74896953662698,tRNA-,75.75008147849927
GCF_000827835.1,NZ_CP010534.1,Non_tRNA_Plasmid,0,41915,4.622369470494736,61.81796492902303,tRNA-,89.06119527615412
GCF_000828535.1,NZ_AP011527.1,Non_tRNA_Plasmid,0,12084,4.082210716601243,28.91426679907316,tRNA-,58.56504468718967
GCF_000828575.1,NZ_AP011953.1,Non_tRNA_Plasmid,0,11015,4.041984501486787,42.50567408079891,tRNA-,75.46073536087154
GCF_000969905.1,NZ_CP009519.1,Non_tRNA_Plasmid,0,58133,4.764422735649093,34.54320265597853,tRNA-,73.86510243751398
GCF_000969945.1,NZ_CP009523.1,Non_tRNA_Plasmid,0,54381,4.735447189468635,34.31529394457623,tRNA-,71.99573380408599
GCF_000969985.1,NZ_CP009525.1,Non_tRNA_Plasmid,0,32371,4.510156115768769,34.32563603202572,tRNA-,70.13067251552316
GCF_000970025.1,NZ_CP009527.1,Non_tRNA_Plasmid,0,41698,4.62011522500268,35.84584392536812,tRNA-,74.02033670679648
GCF_000970065.1,NZ_CP009529.1,Non_tRNA_Plasmid,0,39586,4.59754162032528,35.787904814833524,tRNA-,71.33329965139191
GCF_001011115.1,NZ_CP008875.1,Non_tRNA_Plasmid,0,124256,5.094317368865954,55.40657996394541,tRNA-,83.59837754313675
GCF_001190965.1,NZ_CP011948.1,Non_tRNA_Plasmid,0,488062,5.6884749952558735,64.57868057746762,tRNA-,85.72476447664437
GCF_001190965.1,NZ_CP011949.1,tRNA_Plasmid,1,335881,5.526185437516751,66.8537368889577,tRNA+,87.14812686636041
GCF_001190965.1,NZ_CP011950.1,Non_tRNA_Plasmid,0,113655,5.05558854630511,52.84501341779948,tRNA-,81.96031850776473
GCF_001190965.1,NZ_CP011951.1,Non_tRNA_Plasmid,0,35465,4.54979996418455,53.9940786691104,tRNA-,68.76075003524602
GCF_001305655.1,NZ_CP011565.1,Non_tRNA_Plasmid,0,124256,5.094317368865954,55.3961176925058,tRNA-,83.4985835694051
GCF_001488575.1,NZ_LN831303.1,Non_tRNA_Plasmid,0,349522,5.54347451678528,59.95302155515246,tRNA-,78.13413747918585
GCF_001488575.1,NZ_LN831304.1,Non_tRNA_Plasmid,0,157757,5.19798863887608,59.25632460049316,tRNA-,85.80918754793765
GCF_001488575.1,NZ_LN831305.1,tRNA_Plasmid,1,112459,5.050994217387746,56.50592660436248,tRNA+,77.4966876817329
GCF_001592435.1,NZ_CP014751.1,Non_tRNA_Plasmid,0,49106,4.691134559489416,51.98753716450128,tRNA-,87.36406956380075
GCF_001971705.1,NZ_CP019328.1,Non_tRNA_Plasmid,0,202531,5.306491507049616,60.97486310737615,tRNA-,81.64132898173612
GCF_001971705.1,NZ_CP019329.1,Non_tRNA_Plasmid,0,180835,5.2572824904965785,55.97146570077696,tRNA-,83.78687754029917
GCF_001971705.1,NZ_CP019330.1,Non_tRNA_Plasmid,0,54993,4.740307412133368,57.66370265306494,tRNA-,84.58894768425073
GCF_001989615.1,NZ_CP019069.1,tRNA_Plasmid,1,120563,5.081214046101827,65.17422426449242,tRNA+,81.11194976900045
GCF_001989615.1,NZ_CP019068.1,Non_tRNA_Plasmid,0,276813,5.442186482084177,61.18679397282642,tRNA-,83.10122718224939
GCF_002025255.2,NZ_CP054588.1,Non_tRNA_Plasmid,0,254488,5.405667308650569,65.90448272610104,tRNA-,86.80134230297696
GCF_002025255.2,NZ_CP054589.1,Non_tRNA_Plasmid,0,253363,5.403743192753073,58.274096849184765,tRNA-,82.97936162738837
GCF_002025255.2,NZ_CP054590.1,Non_tRNA_Plasmid,0,52906,4.723504927595252,57.9310475182399,tRNA-,75.1691679582656
GCF_002214585.1,NZ_CP014863.1,Non_tRNA_Plasmid,0,38045,4.58029758843657,43.91378630569063,tRNA-,82.70732027861743
GCF_002355635.1,NZ_AP017559.1,Non_tRNA_Plasmid,0,138020,5.13994202306998,53.20315896246921,tRNA-,77.01854803651645
GCF_002355655.1,NZ_AP017570.1,Non_tRNA_Plasmid,0,141523,5.150827026159696,56.47138627643563,tRNA-,84.21104696763071
GCF_002355655.1,NZ_AP017571.1,Non_tRNA_Plasmid,0,103081,5.01317862303734,57.71286658065017,tRNA-,86.47762439246806
GCF_002906575.1,NZ_CP026310.1,Non_tRNA_Plasmid,0,237003,5.374753843373815,57.5507483027641,tRNA-,75.63575144618423
GCF_002906575.1,NZ_CP026311.1,tRNA_Plasmid,1,198037,5.296746338719262,59.18338492301943,tRNA+,83.05720648161707
GCF_002906575.1,NZ_CP026312.1,Non_tRNA_Plasmid,0,118877,5.075097836626077,58.84990368195698,tRNA-,83.60826736879295
GCF_002906575.1,NZ_CP026313.1,Non_tRNA_Plasmid,0,129442,5.112075214576089,57.86452619706123,tRNA-,84.81945581804979
GCF_002906575.1,NZ_CP026314.1,Non_tRNA_Plasmid,0,39196,4.593241748995836,63.246249617307896,tRNA-,88.21308296764975
GCF_003342675.1,NZ_CP031147.1,Non_tRNA_Plasmid,0,225191,5.352551029481073,57.178128788450685,tRNA-,83.82128948314985
GCF_003342675.1,NZ_CP031149.1,tRNA_Plasmid,1,147062,5.167500467953262,56.68493560539092,tRNA+,78.58182263263113
GCF_003342695.1,NZ_CP031151.1,Non_tRNA_Plasmid,0,112309,5.050414560301716,58.11644658932054,tRNA-,85.94324586631525
GCF_003342695.1,NZ_CP031152.1,tRNA_Plasmid,8,91783,4.962762248849517,58.868199993462845,tRNA+,75.72208361025463
GCF_003383015.2,NZ_CP137690.1,Non_tRNA_Plasmid,0,110523,5.043452664751197,55.17946490775676,tRNA-,82.56652461478606
GCF_003383015.2,NZ_CP137691.1,Non_tRNA_Plasmid,0,244815,5.388838023839752,58.35794375344648,tRNA-,79.10667238527051
GCF_003383015.2,NZ_CP137692.1,Non_tRNA_Plasmid,0,298783,5.475355883584373,66.35451146818929,tRNA-,84.50346907287229
GCF_003383015.2,NZ_CP137693.1,Non_tRNA_Plasmid,0,443792,5.647179469173208,65.77135234524282,tRNA-,85.72957601759383
GCF_003430805.1,NZ_CP027032.1,Non_tRNA_Plasmid,0,235493,5.371978002307566,56.93629959276921,tRNA-,81.54467436399383
GCF_003430825.1,NZ_CP024045.1,Non_tRNA_Plasmid,0,101047,5.004523424206728,52.6606430670876,tRNA-,84.43496590695419
GCF_003430825.1,NZ_CP024046.1,Non_tRNA_Plasmid,0,166472,5.221341197193143,56.70322937190638,tRNA-,80.81599307991735
GCF_003721175.2,NZ_CP054708.1,tRNA_Plasmid,1,602938,5.780272656017031,69.10179819483928,tRNA+,88.24804540433676
GCF_003721175.2,NZ_CP054709.1,tRNA_Plasmid,1,419060,5.622276208654572,63.99751825514246,tRNA+,85.23385672696034
GCF_003721175.2,NZ_CP054710.1,tRNA_Plasmid,1,132808,5.123224236562196,59.76974278657912,tRNA+,84.68315161737245
GCF_003721175.2,NZ_CP054711.1,Non_tRNA_Plasmid,0,24593,4.390811509786938,64.70540397674135,tRNA-,72.21160492823161
GCF_003721175.2,NZ_CP054712.1,Non_tRNA_Plasmid,0,14560,4.163161374977018,63.125,tRNA-,79.58104395604396
GCF_003721435.2,NZ_CP054586.1,Non_tRNA_Plasmid,0,363938,5.561027404112494,58.32092279454193,tRNA-,83.24742126406146
GCF_003856835.1,NZ_CP034146.1,Non_tRNA_Plasmid,0,41138,4.614243173841994,56.7674656035782,tRNA-,80.91788613933589
GCF_003990725.2,NZ_CP030065.1,Non_tRNA_Plasmid,0,300774,5.478240291545398,57.01689640726924,tRNA-,81.09909766136701
GCF_004087835.1,NZ_CP035120.1,Non_tRNA_Plasmid,0,303357,5.481954020794154,64.29025867212557,tRNA-,86.22250351895622
GCF_004087835.1,NZ_CP035121.1,Non_tRNA_Plasmid,0,111878,5.048744694053373,54.40658574518672,tRNA-,81.95266272189349
GCF_004087835.1,NZ_CP035122.1,Non_tRNA_Plasmid,0,58328,4.765877085227288,54.9873131257715,tRNA-,73.66616376354409
GCF_004114375.1,NZ_CP034690.1,Non_tRNA_Plasmid,0,13972,4.145258576965609,67.59948468365302,tRNA-,72.17291726309763
GCF_004114375.1,NZ_CP034691.1,tRNA_Plasmid,1,117216,5.068986896984451,54.81845481845482,tRNA+,68.22106197106197
GCF_004114375.1,NZ_CP034693.1,Non_tRNA_Plasmid,0,163120,5.212507212770084,55.12567435017165,tRNA-,77.20512506130456
GCF_004126515.1,NZ_CP034941.1,Non_tRNA_Plasmid,0,606697,5.782971847446658,57.3815265280692,tRNA-,80.06039258476636
GCF_004126515.1,NZ_CP034942.1,Non_tRNA_Plasmid,0,57310,4.75823040845775,54.65887279706857,tRNA-,65.6744023730588
GCF_004799605.1,NZ_CP038632.1,Non_tRNA_Plasmid,0,148406,5.171451459664138,60.59930191501691,tRNA-,84.8099133458216
GCF_004799605.1,NZ_CP038633.1,Non_tRNA_Plasmid,0,102666,5.011426641677588,56.48608107844856,tRNA-,81.13689049928895
GCF_004799645.1,NZ_CP031306.1,tRNA_Plasmid,10,827667,5.9178556397420286,59.36880412049773,tRNA+,83.4621895037497
GCF_004799645.1,NZ_CP031307.1,Non_tRNA_Plasmid,0,213905,5.33022093626405,59.03648816063206,tRNA-,80.98782169654753
GCF_004799645.1,NZ_CP031308.1,tRNA_Plasmid,1,146189,5.164914695337107,55.38515209762704,tRNA+,82.71757792994
GCF_004799645.1,NZ_CP031309.1,tRNA_Plasmid,2,115465,5.062450359895619,57.66595938163079,tRNA+,73.04637769020916
GCF_004799685.1,NZ_CP031312.1,Non_tRNA_Plasmid,0,397862,5.599732461442439,65.9032528866793,tRNA-,84.17340685966491
GCF_004799685.1,NZ_CP031313.1,Non_tRNA_Plasmid,0,207965,5.317990250415251,56.69463611665424,tRNA-,79.88267256509509
GCF_004799685.1,NZ_CP031314.1,Non_tRNA_Plasmid,0,185668,5.268737059254228,59.84768511536721,tRNA-,85.92756964043346
GCF_004803735.1,NZ_CP039376.1,Non_tRNA_Plasmid,0,221861,5.34608096616445,64.15097741378611,tRNA-,83.68663262132597
GCF_005310945.1,NZ_CP039133.1,Non_tRNA_Plasmid,0,33297,4.522405106114798,54.245127188635614,tRNA-,71.83830375108869
GCF_005310945.1,NZ_CP039132.1,Non_tRNA_Plasmid,0,33451,4.524409105302357,55.62464500313892,tRNA-,75.23242952378105
GCF_005310945.1,NZ_CP039135.1,Non_tRNA_Plasmid,0,132675,5.122789096301423,54.48200489918976,tRNA-,76.99943470887507
GCF_005310945.1,NZ_CP039134.1,tRNA_Plasmid,1,155291,5.191146286613303,58.33048921057885,tRNA+,86.2722244045051
GCF_005310945.1,NZ_CP039136.1,tRNA_Plasmid,1,288045,5.459460340971134,57.22890520578382,tRNA+,77.38547796351264
GCF_005310945.1,NZ_CP039137.1,Non_tRNA_Plasmid,0,410547,5.613362882946852,59.118444416839,tRNA-,84.36403140200757
GCF_005406325.1,NZ_CP039142.1,Non_tRNA_Plasmid,0,131975,5.120491670672996,57.26690661110059,tRNA-,76.43189998105701
GCF_005406325.1,NZ_CP039141.1,tRNA_Plasmid,1,321907,5.507730420700274,57.898709875833696,tRNA+,85.38584125228715
GCF_005406325.1,NZ_CP039140.1,Non_tRNA_Plasmid,0,504704,5.703036746721091,57.51014455997972,tRNA-,79.9688530306873
GCF_005576615.1,NZ_CP040329.1,Non_tRNA_Plasmid,0,2465,3.391816923613249,69.24949290060852,tRNA-,71.56186612576064
GCF_005576615.1,NZ_CP040333.1,Non_tRNA_Plasmid,0,18925,4.277035888172111,63.52972258916777,tRNA-,88.08982826948481
GCF_005576615.1,NZ_CP040332.1,Non_tRNA_Plasmid,0,413865,5.616858700260187,59.97390453408721,tRNA-,78.43185579838837
GCF_005576615.1,NZ_CP040331.1,tRNA_Plasmid,12,492102,5.692055130096464,56.287111208651865,tRNA+,78.88202039414593
GCF_005890195.1,NZ_CP040639.1,Non_tRNA_Plasmid,0,70939,4.850885062095567,60.50409506759329,tRNA-,85.59043685419867
GCF_005890195.1,NZ_CP040638.1,Non_tRNA_Plasmid,0,203201,5.307925840882616,60.56810744041614,tRNA-,81.98680124605686
GCF_006274605.1,NZ_CP040847.1,Non_tRNA_Plasmid,0,7674,3.885021794862298,44.74850143341152,tRNA-,70.61506385196768
GCF_007833275.1,NZ_CP042240.1,Non_tRNA_Plasmid,0,178915,5.252646752776098,63.77665371824609,tRNA-,84.39482435793533
GCF_008831545.1,NZ_CP044524.1,Non_tRNA_Plasmid,0,531768,5.725722199408556,62.045102375472005,tRNA-,88.16137864632697
GCF_008831545.1,NZ_CP044525.1,Non_tRNA_Plasmid,0,219256,5.340951486787165,58.05359944539716,tRNA-,82.31792972598241
GCF_008831545.1,NZ_CP044526.1,Non_tRNA_Plasmid,0,63455,4.8024658484457845,59.56662201560161,tRNA-,71.60349854227405
GCF_009392895.1,NZ_CP045489.1,Non_tRNA_Plasmid,0,431477,5.6349576504815735,54.754019333591366,tRNA-,78.66421616911214
GCF_009392895.1,NZ_CP045490.1,tRNA_Plasmid,1,356702,5.552305544400111,59.12442318798325,tRNA+,82.57873519071943
GCF_009392895.1,NZ_CP045491.1,Non_tRNA_Plasmid,0,207310,5.316620251635936,61.091601948772364,tRNA-,81.29274998794077
GCF_009617995.1,NZ_CP044130.1,Non_tRNA_Plasmid,0,223917,5.350087066897131,64.06882907505906,tRNA-,82.94769937074898
GCF_009762275.1,NZ_CP034344.1,Non_tRNA_Plasmid,0,267815,5.427834897675217,58.44071467244179,tRNA-,86.88684353004872
GCF_011602445.1,NZ_CP050015.1,Non_tRNA_Plasmid,0,535368,5.728652408989968,61.99548721626993,tRNA-,83.81748628980439
GCF_011602445.1,NZ_CP050016.1,Non_tRNA_Plasmid,0,355823,5.551234016963885,57.84420905899843,tRNA-,79.25625943235822
GCF_011602445.1,NZ_CP050017.1,Non_tRNA_Plasmid,0,255392,5.4072072891283725,56.90546297456459,tRNA-,77.89280791880716
GCF_011602445.1,NZ_CP050018.1,Non_tRNA_Plasmid,0,133715,5.126180128666808,59.75171072804098,tRNA-,78.72415211457204
GCF_011602445.1,NZ_CP050019.1,Non_tRNA_Plasmid,0,53962,4.732088037606006,56.49716467143545,tRNA-,74.31155257403358
GCF_013267195.1,NZ_CP053942.1,Non_tRNA_Plasmid,0,247617,5.393780457604739,58.47013734921269,tRNA-,82.48868211794829
GCF_013267195.1,NZ_CP053943.1,Non_tRNA_Plasmid,0,155204,5.190902909934681,59.161490683229815,tRNA-,87.625318935079
GCF_013401515.1,NZ_CP058530.1,Non_tRNA_Plasmid,0,263745,5.421184235156963,69.39581793019774,tRNA-,83.91552446491876
GCF_013401515.1,NZ_CP058531.1,Non_tRNA_Plasmid,0,186742,5.271242005773784,57.335253986783904,tRNA-,70.10153045378115
GCF_013401515.1,NZ_CP058532.1,tRNA_Plasmid,21,148857,5.172769262159719,61.12846557434316,tRNA+,82.21984857950919
GCF_013402815.2,NZ_CP084880.1,Non_tRNA_Plasmid,0,425401,5.628798506474024,55.33226297070294,tRNA-,74.10584366280285
GCF_013402815.2,NZ_CP084881.1,tRNA_Plasmid,1,56996,4.755844377797332,59.02694925959716,tRNA+,86.42887220155801
GCF_013402875.1,NZ_CP058580.1,Non_tRNA_Plasmid,0,239483,5.379274689908277,71.37500365370401,tRNA-,85.2173223151539
GCF_013456555.2,NZ_CP084882.1,tRNA_Plasmid,1,508040,5.705897907353572,54.52818675694827,tRNA+,73.43378474135895
GCF_013456555.2,NZ_CP084883.1,Non_tRNA_Plasmid,0,465323,5.667754519385228,59.43011628481722,tRNA-,79.22647279416664
GCF_013456555.2,NZ_CP084884.1,tRNA_Plasmid,1,358925,5.5550037090546605,57.17629031134638,tRNA+,80.56084140140698
