Plasmid_ID,Size_bp,size_group,tRNA_Group,Total_ARG_Count,log10_1p_ARG_count
NZ_CP038647.1,9909,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP038649.1,7396,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP038651.1,5844,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP040051.1,189343,≥100 kb,tRNA-,14.0,1.1760912590556813
NZ_CP040052.1,5681,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP040260.1,202283,≥100 kb,tRNA-,19.0,1.3010299956639813
NZ_CP040426.1,111449,≥100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP041588.1,6078,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP041590.1,145071,≥100 kb,tRNA+,5.0,0.7781512503836436
NZ_CP043954.1,7791,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP042557.1,327867,≥100 kb,tRNA-,20.0,1.3222192947339193
NZ_CP042561.1,5234,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP051863.1,90089,<100 kb,tRNA-,7.0,0.9030899869919435
NZ_CP051870.1,48239,<100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP051872.1,8215,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP051876.1,48239,<100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP051878.1,8215,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP051867.1,81353,<100 kb,tRNA-,10.0,1.0413926851582251
NZ_CP050386.1,215278,≥100 kb,tRNA-,20.0,1.3222192947339193
NZ_CP050392.1,70712,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP050404.1,99090,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP050406.1,12574,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP050407.1,5679,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP050408.1,5432,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP050423.1,5679,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP050413.1,70098,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP050426.1,150385,≥100 kb,tRNA-,16.0,1.2304489213782739
NZ_CP050433.1,226394,≥100 kb,tRNA-,17.0,1.255272505103306
NZ_CP050528.1,5679,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP048828.1,264805,≥100 kb,tRNA-,11.0,1.0791812460476249
NZ_CP046901.1,7852,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP046899.1,205113,≥100 kb,tRNA-,9.0,1.0
NZ_CP044518.1,6099,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP044520.1,66277,<100 kb,tRNA-,14.0,1.1760912590556813
NZ_CP044521.1,12731,<100 kb,tRNA-,4.0,0.6989700043360189
NZ_CP053216.1,55394,<100 kb,tRNA-,7.0,0.9030899869919435
NZ_CP053220.1,63650,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP047975.1,100072,≥100 kb,tRNA-,10.0,1.0413926851582251
NZ_CP059301.1,174292,≥100 kb,tRNA-,11.0,1.0791812460476249
NZ_CP064924.1,309759,≥100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP064925.1,298052,≥100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP064927.1,210325,≥100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP071718.1,394275,≥100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP071720.1,187211,≥100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP071721.1,180652,≥100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP071725.1,89712,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_AP026077.1,329949,≥100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP092030.1,15266,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP059731.1,17003,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP059730.1,7055,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP069841.1,76933,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP070365.1,83362,<100 kb,tRNA-,12.0,1.1139433523068367
NZ_CP070361.1,87892,<100 kb,tRNA-,16.0,1.2304489213782739
NZ_CP072123.1,218105,≥100 kb,tRNA-,15.0,1.2041199826559248
NZ_CP072124.1,87529,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP072126.1,5679,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP072271.1,218105,≥100 kb,tRNA-,15.0,1.2041199826559248
NZ_CP072272.1,68224,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP072276.1,218105,≥100 kb,tRNA-,15.0,1.2041199826559248
NZ_CP072277.1,68225,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP072279.1,5679,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP072281.1,218105,≥100 kb,tRNA-,15.0,1.2041199826559248
NZ_CP072282.1,87529,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP072286.1,218105,≥100 kb,tRNA-,15.0,1.2041199826559248
NZ_CP072287.1,87529,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP072291.1,218105,≥100 kb,tRNA-,15.0,1.2041199826559248
NZ_CP072292.1,68225,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP072294.1,5679,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP072296.1,218105,≥100 kb,tRNA-,15.0,1.2041199826559248
NZ_CP072297.1,87529,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP072299.1,5679,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP072301.1,218105,≥100 kb,tRNA-,15.0,1.2041199826559248
NZ_CP072304.1,5679,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP072307.1,6520,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP072527.1,113682,≥100 kb,tRNA+,2.0,0.47712125471966244
NZ_CP072528.1,97035,<100 kb,tRNA-,7.0,0.9030899869919435
NZ_CP048851.1,132632,≥100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP048132.1,6078,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP048134.1,74916,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP048135.1,208004,≥100 kb,tRNA-,7.0,0.9030899869919435
NZ_CP077802.1,145711,≥100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP084298.1,162264,≥100 kb,tRNA-,21.0,1.3424226808222062
NZ_CP074709.1,148956,≥100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP091598.1,117234,≥100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP091595.1,73145,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP091597.1,11378,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP058730.1,110272,≥100 kb,tRNA+,2.0,0.47712125471966244
NZ_CP059475.1,113429,≥100 kb,tRNA+,2.0,0.47712125471966244
NZ_CP059476.1,57742,<100 kb,tRNA-,5.0,0.7781512503836436
NZ_CP065052.1,72156,<100 kb,tRNA-,12.0,1.1139433523068367
NZ_CP096695.1,78842,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP096708.1,77531,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP096712.1,77531,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP096716.1,77530,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP096725.1,77534,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP096730.1,77542,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP096736.1,77540,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP096751.1,77530,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP096769.1,77533,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP098792.1,141629,≥100 kb,tRNA-,8.0,0.9542425094393249
NZ_CP098796.1,141631,≥100 kb,tRNA-,8.0,0.9542425094393249
NZ_CP098797.1,135066,≥100 kb,tRNA+,10.0,1.0413926851582251
NZ_CP076808.1,65432,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP076809.1,17469,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP076816.1,17469,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP076822.1,11714,<100 kb,tRNA-,4.0,0.6989700043360189
NZ_CP098522.1,198716,≥100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP087311.1,83611,<100 kb,tRNA-,12.0,1.1139433523068367
NZ_CP087299.1,83611,<100 kb,tRNA-,12.0,1.1139433523068367
NZ_CP087319.1,36555,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP087318.1,37306,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP087301.1,47260,<100 kb,tRNA-,8.0,0.9542425094393249
NZ_CP087313.1,223334,≥100 kb,tRNA-,4.0,0.6989700043360189
NZ_CP087314.1,70100,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP087316.1,6078,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP087322.1,21542,<100 kb,tRNA-,8.0,0.9542425094393249
NZ_CP087323.1,15932,<100 kb,tRNA-,4.0,0.6989700043360189
NZ_CP087324.1,14741,<100 kb,tRNA-,4.0,0.6989700043360189
NZ_CP087332.1,148957,≥100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP087345.1,70098,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP087346.1,11084,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP087349.1,71410,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP087352.1,70098,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP087353.1,11084,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP087355.1,70098,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP087356.1,11084,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP104336.1,328511,≥100 kb,tRNA-,23.0,1.380211241711606
NZ_CP104339.1,329791,≥100 kb,tRNA-,22.0,1.3617278360175928
NZ_CP104343.1,335718,≥100 kb,tRNA-,23.0,1.380211241711606
NZ_CP104344.1,9935,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP104345.1,338291,≥100 kb,tRNA-,23.0,1.380211241711606
NZ_CP104348.1,335558,≥100 kb,tRNA-,21.0,1.3424226808222062
NZ_CP104352.1,335718,≥100 kb,tRNA-,23.0,1.380211241711606
NZ_CP104353.1,9935,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP104448.1,4092895,≥100 kb,tRNA+,75.0,1.8808135922807914
NZ_CP104447.1,335722,≥100 kb,tRNA-,23.0,1.380211241711606
NZ_CP110463.1,6078,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP110464.1,12952,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP110467.1,124107,≥100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP110468.1,141033,≥100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP102764.1,87371,<100 kb,tRNA-,9.0,1.0
NZ_CP113081.1,83610,<100 kb,tRNA-,12.0,1.1139433523068367
NZ_CP113079.1,83610,<100 kb,tRNA-,12.0,1.1139433523068367
NZ_CP121346.1,4595,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP121564.1,70111,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP121611.1,21454,<100 kb,tRNA-,9.0,1.0
NZ_CP121627.1,70541,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP121596.1,70544,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP121599.1,72243,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP074699.1,8709,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP064203.1,3973223,≥100 kb,tRNA+,81.0,1.9138138523837167
NZ_CP074696.1,8961,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP076737.1,8970,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP076740.1,8954,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP064193.1,8970,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP076743.1,8964,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP123855.1,19052,<100 kb,tRNA-,30.0,1.4913616938342726
NZ_CP123858.1,12158,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP129248.1,6078,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP129246.1,166254,≥100 kb,tRNA-,5.0,0.7781512503836436
NZ_CP043454.1,10879,<100 kb,tRNA-,4.0,0.6989700043360189
NZ_CP043457.1,10879,<100 kb,tRNA-,4.0,0.6989700043360189
NZ_CP043461.1,10864,<100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP043464.1,10879,<100 kb,tRNA-,4.0,0.6989700043360189
NZ_CP043472.1,10879,<100 kb,tRNA-,4.0,0.6989700043360189
NZ_CP046548.1,10864,<100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP046551.1,10864,<100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP046556.1,10864,<100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP046553.1,30517,<100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP136175.1,8066,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP139826.1,91669,<100 kb,tRNA-,5.0,0.7781512503836436
NZ_CP139832.1,48590,<100 kb,tRNA-,8.0,0.9542425094393249
NZ_CP139835.1,34880,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP139837.1,76943,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP140423.1,25838,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP144561.1,6020,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP149840.1,8963,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP155460.1,78115,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP149802.1,78023,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP131888.1,8970,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP131892.1,8970,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP131895.1,90163,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP131897.1,19261,<100 kb,tRNA-,4.0,0.6989700043360189
NZ_CP131899.1,87483,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP133707.1,265260,≥100 kb,tRNA-,17.0,1.255272505103306
NZ_CP133713.1,261943,≥100 kb,tRNA-,17.0,1.255272505103306
NZ_CP133716.1,5281,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP151689.1,145709,≥100 kb,tRNA-,7.0,0.9030899869919435
NZ_CP151691.1,145482,≥100 kb,tRNA-,7.0,0.9030899869919435
NZ_CP151693.1,127468,≥100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP151695.1,145482,≥100 kb,tRNA-,7.0,0.9030899869919435
NZ_CP151698.1,131775,≥100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP151701.1,132530,≥100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP151703.1,132823,≥100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP151706.1,146537,≥100 kb,tRNA-,5.0,0.7781512503836436
NZ_CP151708.1,145508,≥100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP151710.1,145522,≥100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP151712.1,145709,≥100 kb,tRNA-,7.0,0.9030899869919435
NZ_CP151714.1,145508,≥100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP151716.1,145508,≥100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP151718.1,145508,≥100 kb,tRNA-,7.0,0.9030899869919435
NZ_CP151720.1,145509,≥100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP152384.1,86324,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP156043.1,17641,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP156042.1,74071,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP128373.1,114700,≥100 kb,tRNA+,2.0,0.47712125471966244
NZ_CP159764.1,80394,<100 kb,tRNA-,8.0,0.9542425094393249
NZ_CP160033.1,80395,<100 kb,tRNA-,8.0,0.9542425094393249
NZ_CP161987.1,114495,≥100 kb,tRNA+,2.0,0.47712125471966244
NZ_CP161996.1,109491,≥100 kb,tRNA+,2.0,0.47712125471966244
NZ_CP161997.1,12185,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP161990.1,115424,≥100 kb,tRNA+,2.0,0.47712125471966244
NZ_CP161993.1,86344,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP162146.1,96204,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP162301.1,9501,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP160131.1,80390,<100 kb,tRNA-,8.0,0.9542425094393249
NZ_AP031584.1,184204,≥100 kb,tRNA-,11.0,1.0791812460476249
NZ_CP169767.1,24312,<100 kb,tRNA-,4.0,0.6989700043360189
NZ_CP169768.1,3919491,≥100 kb,tRNA+,82.0,1.919078092376074
NZ_CP169777.1,179192,≥100 kb,tRNA-,5.0,0.7781512503836436
NZ_CP169789.1,76653,<100 kb,tRNA-,7.0,0.9030899869919435
NZ_CP169793.1,9830,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP169796.1,17003,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP169799.1,16997,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP169800.1,17004,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP169802.1,22106,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP169804.1,17004,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP169806.1,169023,≥100 kb,tRNA-,16.0,1.2304489213782739
NZ_CP169808.1,87569,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP169810.1,183665,≥100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP169812.1,135535,≥100 kb,tRNA-,16.0,1.2304489213782739
NZ_CP169816.1,13740,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP169818.1,113549,≥100 kb,tRNA+,2.0,0.47712125471966244
NZ_CP169834.1,79190,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP169841.1,15323,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP169845.1,56513,<100 kb,tRNA-,7.0,0.9030899869919435
NZ_CP169850.1,81072,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP169860.1,66037,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP169875.1,146397,≥100 kb,tRNA-,6.0,0.8450980400142568
NZ_CP132917.1,50328,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP133053.1,316034,≥100 kb,tRNA-,13.0,1.146128035678238
NZ_CP134543.1,77479,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP134546.1,77525,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP134551.1,77531,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP134554.1,78938,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP134561.1,52288,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP134563.1,77531,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP134567.1,47274,<100 kb,tRNA-,1.0,0.3010299956639812
NC_010605.1,28279,<100 kb,tRNA-,4.0,0.6989700043360189
NC_021728.1,20139,<100 kb,tRNA-,5.0,0.7781512503836436
NC_021734.1,52268,<100 kb,tRNA-,4.0,0.6989700043360189
NC_021732.1,20139,<100 kb,tRNA-,5.0,0.7781512503836436
NC_019985.2,48368,<100 kb,tRNA-,1.0,0.3010299956639812
NC_023031.1,113866,≥100 kb,tRNA+,2.0,0.47712125471966244
NZ_CP007714.1,6076,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP010903.1,66409,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP010370.2,47274,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP010355.1,7579,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP010351.1,398857,≥100 kb,tRNA-,19.0,1.3010299956639813
NZ_CP014479.1,36862,<100 kb,tRNA-,8.0,0.9542425094393249
NZ_CP014478.1,146597,≥100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP015146.1,10498,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP015595.1,309964,≥100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP032278.1,49649,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP032270.1,14502,<100 kb,tRNA-,4.0,0.6989700043360189
NZ_CP032272.1,12457,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP032275.1,10090,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP029391.2,5017,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP029396.2,355358,≥100 kb,tRNA-,11.0,1.0791812460476249
NZ_CP015617.1,45079,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP015618.1,14058,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP015619.1,10218,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP028798.2,33869,<100 kb,tRNA-,5.0,0.7781512503836436
NZ_CP028560.1,190170,≥100 kb,tRNA-,4.0,0.6989700043360189
NZ_CP028558.1,6132,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP032138.1,16399,<100 kb,tRNA-,7.0,0.9030899869919435
NZ_CP032142.1,39365,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP032140.1,5025,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP032281.1,16361,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP032285.1,372328,≥100 kb,tRNA-,18.0,1.2787536009528289
NZ_CP032127.1,18155,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP032132.1,39357,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP032128.1,5433,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP032133.1,66715,<100 kb,tRNA-,7.0,0.9030899869919435
NZ_CP018910.1,9501,<100 kb,tRNA-,2.0,0.47712125471966244
NZ_CP026086.2,112436,≥100 kb,tRNA-,10.0,1.0413926851582251
NZ_CP026417.1,12933,<100 kb,tRNA-,4.0,0.6989700043360189
NZ_CP026418.1,43928,<100 kb,tRNA-,12.0,1.1139433523068367
NZ_CP026413.1,11959,<100 kb,tRNA-,1.0,0.3010299956639812
NZ_CP026414.1,17598,<100 kb,tRNA-,3.0,0.6020599913279624
NZ_CP026425.1,39361,<100 kb,tRNA-,1.0,0.3010299956639812
