task,run,seed,Code,Product,normalized_gain_pct
classification,1,42,AQ,"1,2-dihydroxynaphthalene dioxygenase",0.0
classification,1,42,AR,"1,2-glucosyltransferase WapB",0.0
classification,1,42,AS,"1,2-phenylacetyl-CoA epoxidase subunit PaaA",0.0
classification,1,42,AT,"1,2-phenylacetyl-CoA epoxidase subunit PaaB",0.0
classification,1,42,AU,"1,2-phenylacetyl-CoA epoxidase subunit PaaC",0.0
classification,1,42,AV,"1,2-phenylacetyl-CoA epoxidase subunit PaaD",0.0
classification,1,42,AW,"1,2-phenylacetyl-CoA epoxidase subunit PaaE",0.0
classification,1,42,AX,"1,3-beta-galactosyl-N-acetylhexosamine phosphorylase",0.0
classification,1,42,AY,"1,3-beta-glucanase",0.0
classification,1,42,AZ,"1,3-propanediol dehydrogenase",0.0
classification,1,42,BA,"1,4-alpha-glucan branching enzyme",0.001443563540116741
classification,1,42,BB,"1,4-alpha-glucan branching protein",0.0
classification,1,42,BC,"1,4-alpha-glucan branching protein GlgB",0.0
classification,1,42,BD,"1,4-beta-xylanase",0.0
classification,1,42,BE,"1,4-dihydropyridine esterase",0.0
classification,1,42,BF,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",0.0
classification,1,42,BG,"1,4-dihydroxy-2-naphthoate polyprenyltransferase",0.0
classification,1,42,BH,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",0.0
classification,1,42,BI,"1,4-dihydroxy-2-naphthoyl-CoA synthase",0.0
classification,1,42,BJ,"1,4-dihydroxy-6-naphthoate synthase",0.0
classification,1,42,BK,"1,5-anhydro-D-fructose reductase",0.0
classification,1,42,BL,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD",0.0
classification,1,42,BM,"1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase",0.0
classification,1,42,BN,"1,8-cineole synthase",0.0
classification,1,42,BO,"1,9-bis(guanidino)-5-aza-nonane synthase",0.0
classification,1,42,BP,1-(5-phosphoribosyl)-5-((5- phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase,0.0
classification,1,42,BQ,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase,0.0
classification,1,42,BR,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase,0.0034503945550095755
classification,1,42,BS,1-acyl-sn-glycerol-3-phosphate acyltransferase,0.08638354185719947
classification,1,42,BT,1-acylglycerol-3-phosphate O-acyltransferase,0.0
classification,1,42,BU,1-aminocyclopropane-1-carboxylate deaminase,0.002910761850022525
classification,1,42,BV,1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase,0.008680379578948409
classification,1,42,BW,1-aminocyclopropane-1-carboxylate synthase,0.0
classification,1,42,BX,1-carboxybiuret hydrolase subunit AtzE,0.0
classification,1,42,BY,1-carboxybiuret hydrolase subunit AtzG,0.0
classification,1,42,BZ,1-deoxy-D-xylulose-5-phosphate reductoisomerase,0.00010112781532731128
classification,1,42,CA,1-deoxy-D-xylulose-5-phosphate synthase,0.003852381118632316
classification,1,42,CB,1-deoxy-D-xylulose-5-phosphate synthase N-terminal domain-containing protein,0.0
classification,1,42,CC,1-deoxyxylulose-5-phosphate synthase YajO,0.0
classification,1,42,CD,1-hydroxy-2-methyl-2-butenyl 4-diphosphate reductase,0.0
classification,1,42,CE,"1-hydroxycarotenoid 3,4-desaturase CrtD",0.0
classification,1,42,CF,1-phosphatidylinositol phosphodiesterase,0.0
classification,1,42,CG,1-phosphofructokinase,1.8267667311035246e-05
classification,1,42,CH,1-phosphofructokinase family hexose kinase,0.000531148770026214
classification,1,42,CI,1-propanol dehydrogenase PduQ,0.0
classification,1,42,CJ,1-pyrroline-5-carboxylate dehydrogenase,0.0
classification,1,42,CK,10-carbomethoxy-13-deoxycarminomycin esterase,0.0
classification,1,42,CL,"12,18-didecarboxysiroheme deacetylase",0.0
classification,1,42,CM,12-oxophytodienoate reductase,0.0
classification,1,42,CN,13E12 repeat family protein,0.0
classification,1,42,CO,"15,16-dihydrobiliverdin:ferredoxin oxidoreductase",0.0
classification,1,42,CP,15-cis-phytoene synthase,0.0
classification,1,42,CQ,15-cis-phytoene synthase CrtB,0.0
classification,1,42,CR,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA,0.0
classification,1,42,CS,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,0.011805732681154158
classification,1,42,CT,16S rRNA (cytosine(1402)-N(4))-methyltransferase,0.0
classification,1,42,CU,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,0.0
classification,1,42,CV,16S rRNA (cytosine(1407)-C(5))-methyltransferase RsmF,0.0
classification,1,42,CW,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,0.0
classification,1,42,CX,16S rRNA (guanine(1207)-N(2))-methyltransferase RsmC,0.0
classification,1,42,CY,16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA,0.00022103499521276986
classification,1,42,CZ,16S rRNA (guanine(1405)-N(7))-methyltransferase RmtB1,0.0
classification,1,42,DA,16S rRNA (guanine(1405)-N(7))-methyltransferase RmtB2,0.0
classification,1,42,DB,16S rRNA (guanine(1405)-N(7))-methyltransferase RmtD1,0.0
classification,1,42,DC,16S rRNA (guanine(1405)-N(7))-methyltransferase RmtF,0.0
classification,1,42,DD,16S rRNA (guanine(1405)-N(7))-methyltransferase RmtF1,0.0
classification,1,42,DE,16S rRNA (guanine(1405)-N(7))-methyltransferase RmtF2,0.0
classification,1,42,DF,16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ,0.0
classification,1,42,DG,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,5.2544473773498816e-05
classification,1,42,DH,16S rRNA (guanine(966)-N(2))-methyltransferase,0.0
classification,1,42,DI,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,0.0
classification,1,42,DJ,16S rRNA (uracil(1498)-N(3))-methyltransferase,0.06655390904886718
classification,1,42,DK,16S rRNA methyltransferase,0.0
classification,1,42,DL,16S rRNA pseudouridine(516) synthase,0.0
classification,1,42,DM,16S rRNA pseudouridine(516) synthase RsuA,0.0
classification,1,42,DN,16S ribosomal RNA methyltransferase A,0.0
classification,1,42,DO,"2',3'-cyclic-nucleotide 2'-phosphodiesterase",0.0
classification,1,42,DP,2'-5' RNA ligase family protein,0.013893159963904594
classification,1,42,DQ,2'-deoxycytidine 5'-triphosphate deaminase,0.0
classification,1,42,DR,2'-deoxycytidine 5'-triphosphate deaminase domain-containing protein,0.0
classification,1,42,DS,2'-hydroxybiphenyl-2-sulfinate desulfinase,0.0
classification,1,42,DT,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase",0.0
classification,1,42,DU,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",0.0
classification,1,42,DV,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",0.01759954387419711
classification,1,42,DW,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",0.002468762662106119
classification,1,42,DX,"2,3-butanediol dehydrogenase",0.0013123367823080524
classification,1,42,DY,"2,3-dehydroadipyl-CoA hydratase PaaF",0.0
classification,1,42,DZ,"2,3-diaminopropionate biosynthesis protein SbnA",0.0006268351604254913
classification,1,42,EA,"2,3-diaminopropionate biosynthesis protein SbnB",0.0006131803766834944
classification,1,42,EB,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",0.0
classification,1,42,EC,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase EntA",0.0
classification,1,42,ED,"2,3-dihydroxybenzoate--AMP ligase",0.0
classification,1,42,EE,"2,3-dihydroxybiphenyl 1,2-dioxygenase",0.0
classification,1,42,EF,"2,3-dihydroxyphenylpropionate 1,2-dioxygenase",0.0
classification,1,42,EG,"2,3-dihydroxyphenylpropionate/2, 3-dihydroxicinnamic acid 1,2-dioxygenase",0.0
classification,1,42,EH,"2,3-diketo-5-methylthiopentyl-1-phosphate enolase",0.0
classification,1,42,EI,"2,3-diketo-L-gulonate TRAP transporter large permease YiaN",0.0
classification,1,42,EJ,"2,3-diketo-L-gulonate TRAP transporter small permease YiaM",0.0
classification,1,42,EK,"2,3-diketo-L-gulonate TRAP transporter substrate-binding protein YiaO",0.0
classification,1,42,EL,"2,3-diphosphoglycerate-dependent phosphoglycerate mutase",0.0
classification,1,42,EM,"2,3-diphosphoglycerate-dependent phosphoglycerate mutase GpmB",0.0
classification,1,42,EN,"2,3-epoxybenzoyl-CoA dihydrolase",0.0
classification,1,42,EO,"2,4'-dihydroxyacetophenone dioxygenase family protein",0.00011129118844115592
classification,1,42,EP,"2,4-dichlorophenol 6-monooxygenase",0.0
classification,1,42,EQ,"2,4-dienoyl-CoA reductase",0.0
classification,1,42,ER,"2,4-dihydroxyacetophenone dioxygenase",0.0
classification,1,42,ES,"2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase",0.0
classification,1,42,ET,"2,4-diketo-3-deoxy-L-rhamnonate hydrolase",0.0
classification,1,42,EU,"2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase",0.0
classification,1,42,EV,"2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase",0.0
classification,1,42,EW,"2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase LinC",0.0
classification,1,42,EX,"2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase LinX",0.0
classification,1,42,EY,"2,5-dichlorohydroquinone reductive dechlorinase",0.0
classification,1,42,EZ,"2,5-didehydro-3-deoxy-L-galactonate 5-reductase",0.0
classification,1,42,FA,"2,5-didehydrogluconate reductase",0.0
classification,1,42,FB,"2,5-didehydrogluconate reductase DkgA",0.0
classification,1,42,FC,"2,5-didehydrogluconate reductase DkgB",0.0
classification,1,42,FD,"2,5-dihydroxypyridine 5,6-dioxygenase",0.0
classification,1,42,FE,"2,5-dioxovalerate dehydrogenase",0.0
classification,1,42,FF,"2,6-beta-fructan 6-levanbiohydrolase",0.0
classification,1,42,FG,"2,6-dihydropseudooxynicotine hydrolase",0.0
classification,1,42,FH,"2,6-dihydroxypyridine 3-hydroxylase subunit NdhA",0.0
classification,1,42,FI,"2,6-dihydroxypyridine 3-hydroxylase subunit NdhB",0.0
classification,1,42,FJ,"2,6-dihydroxypyridine 3-hydroxylase subunit NdhC",0.0
classification,1,42,FK,"2,6-dihydroxypyridine 3-monooxygenase",0.0
classification,1,42,FL,"2,7-anhydro-N-acetylneuraminate hydratase",0.0
classification,1,42,FM,"2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase PaaG",0.0010103106453067813
classification,1,42,FN,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",0.003149956523066565
classification,1,42,FO,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,5.210071509297499e-05
classification,1,42,FP,2-O-methyltransferase NoeI,0.0
classification,1,42,FQ,2-acyl-glycerophospho-ethanolamine acyltransferase,0.0
classification,1,42,FR,2-alkenal reductase,0.0
classification,1,42,FS,"2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase",0.0
classification,1,42,FT,2-amino-4-deoxychorismate dehydrogenase SgcG,0.0
classification,1,42,FU,2-amino-4-deoxychorismate synthase SgcD,0.0
classification,1,42,FV,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase,0.0
classification,1,42,FW,2-aminobenzoylacetyl-CoA thioesterase PqsE,0.0
classification,1,42,FX,2-aminoethylphosphonate ABC transport system ATP-binding subunit PhnT,0.0
classification,1,42,FY,"2-aminoethylphosphonate ABC transport system, membrane component PhnV",0.0
classification,1,42,FZ,2-aminoethylphosphonate ABC transporter permease subunit,0.0
classification,1,42,GA,2-aminoethylphosphonate ABC transporter substrate-binding protein,0.0
classification,1,42,GB,2-aminoethylphosphonate aminotransferase,0.0
classification,1,42,GC,2-aminoethylphosphonate--pyruvate transaminase,0.0011051438918345078
classification,1,42,GD,"2-aminophenol 1,6-dioxygenase subunit beta",0.0
classification,1,42,GE,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,0.0021213841525373816
classification,1,42,GF,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD,0.001958186955903369
classification,1,42,GG,2-dehydro-3-deoxy-phosphogluconate aldolase,0.0016074103996155738
classification,1,42,GH,2-dehydro-3-deoxygalactonokinase,0.0008773329671516359
classification,1,42,GI,2-dehydro-3-deoxygalactonokinase KdgK2,0.0
classification,1,42,GJ,2-dehydro-3-deoxyglucarate aldolase,0.0
classification,1,42,GK,2-dehydro-3-deoxygluconokinase,0.0
classification,1,42,GL,2-dehydro-3-deoxyphosphogluconate aldolase,0.0
classification,1,42,GM,2-dehydro-3-deoxyphosphooctonate aldolase,0.0
classification,1,42,GN,2-dehydropantoate 2-reductase,0.005877231260878666
classification,1,42,GO,2-dehydropantoate 2-reductase N-terminal domain-containing protein,0.0
classification,1,42,GP,2-deoxy-5-keto-D-gluconate 6-phosphate aldolase domain-containing protein,0.0
classification,1,42,GQ,2-deoxy-D-gluconate 3-dehydrogenase,0.0
classification,1,42,GR,2-deoxy-scyllo-inosose synthase,0.0
classification,1,42,GS,2-deoxyribose-5-phosphate aldolase,0.0
classification,1,42,GT,"2-heptaprenyl-1,4-naphthoquinone methyltransferase",0.0
classification,1,42,GU,2-heptyl-3-hydroxy-4-quinolone dioxygenase AqdC1,0.0
classification,1,42,GV,2-heptyl-3-hydroxy-4-quinolone dioxygenase AqdC2,0.0
classification,1,42,GW,2-heptyl-4(1H)-quinolone synthase subunit PqsB,0.0
classification,1,42,GX,2-heptyl-4(1H)-quinolone synthase subunit PqsC,0.0
classification,1,42,GY,2-hydroxy-1-naphthoic acid nonoxidative decarboxylase,0.0
classification,1,42,GZ,2-hydroxy-3-keto-5-methylthiopentenyl-1- phosphate phosphatase,0.0
classification,1,42,HA,2-hydroxy-3-oxopropionate reductase,0.0020846597709318526
classification,1,42,HB,"2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase",0.0
classification,1,42,HC,"2-hydroxy-6-oxonona-2,4-dienedioate hydrolase",0.0
classification,1,42,HD,2-hydroxyacid dehydrogenase,0.005204663051118394
classification,1,42,HE,2-hydroxyacid dehydrogenase family protein,0.0
classification,1,42,HF,2-hydroxyacyl-CoA dehydratase,0.0
classification,1,42,HG,2-hydroxyacyl-CoA dehydratase family protein,0.0
classification,1,42,HH,2-hydroxyacyl-CoA dehydratase subunit D,0.0
classification,1,42,HI,2-hydroxycarboxylate transporter family protein,0.0
classification,1,42,HJ,2-hydroxychromene-2-carboxylate isomerase,0.0
classification,1,42,HK,2-hydroxycyclohexanecarboxyl-CoA dehydrogenase,0.0
classification,1,42,HL,2-hydroxyglutaryl-CoA dehydratase,0.0
classification,1,42,HM,"2-hydroxyhepta-2,4-diene-1,7-dioate isomerase",0.0
classification,1,42,HN,2-hydroxyisocaproyl-CoA dehydratase activator HadI,0.0
classification,1,42,HO,2-hydroxymuconate tautomerase,0.0
classification,1,42,HP,2-hydroxymuconate tautomerase family protein,0.0
classification,1,42,HQ,2-hydroxymuconic semialdehyde dehydrogenase,0.0
classification,1,42,HR,2-iminoacetate synthase ThiH,0.0
classification,1,42,HS,2-iminobutanoate/2-iminopropanoate deaminase,0.0
classification,1,42,HT,2-isopropylmalate synthase,0.0030994945989449084
classification,1,42,HU,2-keto-3-deoxy-L-rhamnonate aldolase,0.0
classification,1,42,HV,2-keto-3-deoxy-L-rhamnonate dehydrogenase,0.0
classification,1,42,HW,2-keto-3-deoxygluconate aldolase,0.0
classification,1,42,HX,2-keto-3-deoxygluconate permease,0.0
classification,1,42,HY,2-keto-3-deoxygluconate permease 1,0.0
classification,1,42,HZ,2-keto-3-deoxygluconate transporter,0.0016231083329454592
classification,1,42,IA,2-keto-4-pentenoate hydratase,0.01466433714276973
classification,1,42,IB,2-keto-myo-inositol isomerase,0.0
classification,1,42,IC,2-keto-myo-inositol isomerase IolI1,0.0
classification,1,42,ID,2-keto-myo-inositol isomerase IolI2,0.0
classification,1,42,IE,2-ketoarginine methyltransferase,0.0
classification,1,42,IF,2-ketobutyrate formate-lyase/pyruvate formate-lyase,0.0
classification,1,42,IG,2-ketocyclohexanecarboxyl-CoA hydrolase,0.0
classification,1,42,IH,2-ketoisovalerate ferredoxin oxidoreductase,0.0
classification,1,42,II,2-methylaconitate cis-trans isomerase PrpF,0.0
classification,1,42,IJ,2-methylaconitate cis-trans isomerase PrpF family protein,0.0
classification,1,42,IK,2-methylcitrate dehydratase,0.0
classification,1,42,IL,2-methylcitrate dehydratase PrpD,0.0
classification,1,42,IM,2-methylcitrate synthase,0.0
classification,1,42,IN,2-methylfumaryl-CoA hydratase,0.0
classification,1,42,IO,2-nitroimidazole nitrohydrolase,0.0
classification,1,42,IP,2-nitroimidazole transporter,0.0
classification,1,42,IQ,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase",0.0
classification,1,42,IR,2-octaprenyl-6-methoxyphenyl hydroxylase,0.0
classification,1,42,IS,2-oxo acid dehydrogenase subunit E2,0.010257673454914988
classification,1,42,IT,2-oxo-3-hexenedioate decarboxylase,0.0
classification,1,42,IU,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,0.0059811249011716685
classification,1,42,IV,"2-oxo-hept-4-ene-1,7-dioate hydratase",0.006144191511911915
classification,1,42,IW,"2-oxo-hepta-3-ene-1,7-dioate hydratase",0.0
classification,1,42,IX,"2-oxo-hepta-3-ene-1,7-dioic acid hydratase",0.0
classification,1,42,IY,2-oxo-tetronate isomerase,0.0013737588322730993
classification,1,42,IZ,2-oxoacid:acceptor oxidoreductase family protein,0.0
classification,1,42,JA,2-oxoacid:acceptor oxidoreductase subunit alpha,0.004967490745799398
classification,1,42,JB,2-oxoacid:ferredoxin oxidoreductase subunit alpha,0.0
classification,1,42,JC,2-oxoacid:ferredoxin oxidoreductase subunit beta,0.0
classification,1,42,JD,2-oxoadipate dioxygenase/decarboxylase HglS,0.0
classification,1,42,JE,2-oxoadipate dioxygenase/decarboxylase family protein,0.0
classification,1,42,JF,2-oxoglutaramate amidase,0.0
classification,1,42,JG,2-oxoglutarate and iron-dependent oxygenase domain-containing protein,0.0023812447013279304
classification,1,42,JH,2-oxoglutarate decarboxylase,0.0
classification,1,42,JI,2-oxoglutarate dehydrogenase,0.0
classification,1,42,JJ,2-oxoglutarate dehydrogenase E1,0.0
classification,1,42,JK,2-oxoglutarate dehydrogenase E1 component,0.0
classification,1,42,JL,2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase,0.0
classification,1,42,JM,"2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase",0.0
classification,1,42,JN,2-oxoglutarate ferredoxin oxidoreductase subunit beta,0.0
classification,1,42,JO,2-oxoglutarate synthase subunit alpha,0.0
classification,1,42,JP,2-oxoglutarate-dependent dioxygenase,0.0
classification,1,42,JQ,2-oxoglutarate/malate transporter,0.0
classification,1,42,JR,2-oxoisovalerate dehydrogenase,0.0
classification,1,42,JS,2-oxopent-4-enoate hydratase,0.0
classification,1,42,JT,2-phospho-L-lactate guanylyltransferase,0.0
classification,1,42,JU,2-phospho-L-lactate transferase,0.0
classification,1,42,JV,2-phospho-L-lactate transferase CofD family protein,0.0
classification,1,42,JW,2-phosphoglycerate kinase,0.0
classification,1,42,JX,2-phosphosulfolactate phosphatase,0.0024820901119416367
classification,1,42,JY,2-phosphosulfolactate phosphatase family protein,0.0
classification,1,42,JZ,"2-polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone monooxygenase",0.0
classification,1,42,KA,2-polyprenyl-6-methoxyphenol hydroxylase,0.0
classification,1,42,KB,2-polyprenylphenol 6-hydroxylase,0.0
classification,1,42,KC,2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylate synthase,0.0
classification,1,42,KD,2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylic-acid synthase,0.0
classification,1,42,KE,"2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase",0.0
classification,1,42,KF,2-thiouracil desulfurase family protein,0.0
classification,1,42,KG,2-vinyl bacteriochlorophyllide hydratase,0.0
classification,1,42,KH,20S proteasome subunit A/B,0.0
classification,1,42,KI,23S rRNA (adenine(1618)-N(6))-methyltransferase RlmF,0.0028957664857726132
classification,1,42,KJ,23S rRNA (adenine(2030)-N(6))-methyltransferase,0.0
classification,1,42,KK,23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ,0.0
classification,1,42,KL,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(42),0.0
classification,1,42,KM,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(46),0.0
classification,1,42,KN,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(50),0.0
classification,1,42,KO,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(55),0.0
classification,1,42,KP,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),0.0
classification,1,42,KQ,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),0.011668041968975978
classification,1,42,KR,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C),0.0
classification,1,42,KS,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F),0.0
classification,1,42,KT,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G),0.0
classification,1,42,KU,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(Q),0.0
classification,1,42,KV,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(T),0.0
classification,1,42,KW,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X),0.0
classification,1,42,KX,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,0.0
classification,1,42,KY,23S rRNA (adenine(2503)-C(8))-methyltransferase Cfr,0.0
classification,1,42,KZ,23S rRNA (adenine(2503)-C(8))-methyltransferase Cfr(B),0.0
classification,1,42,LA,23S rRNA (adenine(2503)-C(8))-methyltransferase Cfr(C),0.0
classification,1,42,LB,23S rRNA (adenine(2503)-C(8))-methyltransferase Cfr(D),0.0
classification,1,42,LC,23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM,0.0
classification,1,42,LD,23S rRNA (cytosine(1962)-C(5))-methyltransferase RlmI,0.0
classification,1,42,LE,23S rRNA (guanine(1835)-N(2))-methyltransferase RlmG,0.0
classification,1,42,LF,23S rRNA (guanine(745)-N(1))-methyltransferase,0.0
classification,1,42,LG,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,0.0006003846891999288
classification,1,42,LH,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,5.236879700437722e-05
classification,1,42,LI,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,0.0
classification,1,42,LJ,23S rRNA (uracil(747)-C(5))-methyltransferase,0.0
classification,1,42,LK,23S rRNA (uracil(747)-C(5))-methyltransferase RlmC,8.006159728063964e-05
classification,1,42,LL,23S rRNA (uracil-5-)-methyltransferase RumA,0.0
classification,1,42,LM,23S rRNA (uridine(2552)-2'-O)-methyltransferase,0.0
classification,1,42,LN,23S rRNA (uridine(2552)-2'-O)-methyltransferase RlmE,0.0
classification,1,42,LO,23S rRNA 5-hydroxycytidine C2501 synthase,0.0
classification,1,42,LP,23S rRNA accumulation protein YceD,0.01844368257118434
classification,1,42,LQ,23S rRNA methylase leader peptide ErmCL,0.0
classification,1,42,LR,23S rRNA methyltransferase attenuation leader peptide,0.0
classification,1,42,LS,23S rRNA methyltransferase attenuator leader peptide ErmL,0.0
classification,1,42,LT,23S rRNA pseudouridine(1911/1915/1917) synthase RluD,0.04255694406265401
classification,1,42,LU,23S rRNA pseudouridine(2457) synthase RluE,0.0
classification,1,42,LV,23S rRNA pseudouridine(2604) synthase RluF,0.001397521510411637
classification,1,42,LW,23S rRNA pseudouridine(2605) synthase RluB,0.0
classification,1,42,LX,23S rRNA pseudouridine(955/2504/2580) synthase RluC,0.0086518506989962
classification,1,42,LY,23S ribosomal RNA methyltransferase Erm,0.004790848073178383
classification,1,42,LZ,26S protease regulatory subunit,0.0
classification,1,42,MA,2Fe-2S ferredoxin,0.0
classification,1,42,MB,2Fe-2S iron-sulfur cluster binding domain-containing protein,5.149081582023467e-05
