phylum,Genome_ID,Replicon_ID,all_CDS_n,nonhypothetical_CDS_n,nonhypothetical_coding_nt_n,informative_family_n,plasmid_CCI_big_gene
Actinomycetota,GCF_900637875.1,NZ_LR134464.1,247,217,186990,18,1.5367559234342985
Actinomycetota,GCF_900637875.1,NZ_LR134465.1,431,378,343233,18,1.5282278489637426
Actinomycetota,GCF_900637875.1,NZ_LR134469.1,134,113,120066,18,1.5062494688079493
Actinomycetota,GCF_963853645.1,NZ_OY970457.1,275,178,309633,1,1.3251084598698482
Bacillota,GCF_000005825.2,NC_013793.1,104,58,54294,2,1.7751871305772204
Bacillota,GCF_000025825.1,NC_004604.2,48,27,23709,16,1.1698891596136003
Bacillota,GCF_000025825.1,NC_014023.1,154,118,101277,16,1.1605846786557206
Bacillota,GCF_000145035.1,NC_014390.1,197,74,85488,1,0.5380249716231555
Bacillota,GCF_000174395.2,NC_017962.1,71,54,40509,2,0.9224131279859936
Bacillota,GCF_000179635.2,NC_014824.1,390,209,225561,9,0.977192414415283
Bacillota,GCF_000211235.1,NC_017177.1,291,142,148425,1,2.1269510926118627
Bacillota,GCF_000214785.1,NC_015598.1,179,77,92535,1,0.4685968819599109
Bacillota,GCF_000225265.1,NC_017139.1,62,43,43929,15,1.2047591630092376
Bacillota,GCF_000284095.1,NC_017069.1,87,25,36735,2,0.8085945489306834
Bacillota,GCF_000292705.1,NC_018509.1,253,82,91368,12,1.3073887804117152
Bacillota,GCF_000306745.1,NC_018878.1,709,180,169980,17,1.1523320450541854
Bacillota,GCF_000334875.3,NZ_CP032530.1,132,77,71754,16,1.1990104143971694
Bacillota,GCF_000334875.3,NZ_CP032534.1,51,42,35145,16,1.1914322959565429
Bacillota,GCF_000334875.3,NZ_CP032535.1,25,14,10683,16,1.2292417849581212
Bacillota,GCF_000758365.1,NZ_CP007647.1,214,163,156702,1,0.4012213740458015
Bacillota,GCF_000758365.1,NZ_CP007648.1,154,47,52869,1,0.7897526501766784
Bacillota,GCF_000835025.1,NZ_CP009347.1,251,82,91410,12,1.3065330498696044
Bacillota,GCF_001548175.1,NZ_AP014865.1,311,226,252864,1,0.334375
Bacillota,GCF_001579785.1,NZ_CP013615.1,478,170,164769,7,0.9643953913153526
Bacillota,GCF_001685435.2,NZ_CP011362.1,46,29,25578,1,0.4230769230769231
Bacillota,GCF_001879625.1,NZ_CP014147.1,108,36,26475,1,1.0260223048327135
Bacillota,GCF_002009195.1,NZ_CP018875.1,144,117,112140,4,1.0464853271804946
Bacillota,GCF_002009195.1,NZ_CP018878.1,69,31,20715,4,1.05867919769629
Bacillota,GCF_002073735.2,NZ_CP020426.2,177,59,50307,1,0.4397905759162303
Bacillota,GCF_002073815.2,NZ_CP020429.2,183,118,114723,1,0.5326504481434059
Bacillota,GCF_002104575.1,NZ_CP020744.1,402,275,239490,1,0.3531326281529699
Bacillota,GCF_002117345.1,NZ_CP019739.1,58,30,22944,1,0.1655172413793103
Bacillota,GCF_002119625.1,NZ_CP020032.1,58,42,37287,1,0.8979591836734694
Bacillota,GCF_002173675.1,NZ_CP021670.1,216,61,72219,1,0.6308243727598566
Bacillota,GCF_002224565.1,NZ_CP020460.1,85,50,48030,1,1.548165137614679
Bacillota,GCF_002749655.1,NZ_CP024415.1,57,28,25401,1,1.4678899082568808
Bacillota,GCF_002865885.1,NZ_CP013852.1,24,18,14538,1,0.4277456647398844
Bacillota,GCF_002866125.1,NZ_CP014218.1,104,40,29082,1,0.3456464379947229
Bacillota,GCF_002866125.1,NZ_CP014221.1,24,18,14538,1,0.4277456647398844
Bacillota,GCF_002944585.1,NZ_CP026534.1,170,58,50505,1,0.6818181818181818
Bacillota,GCF_003054785.2,NZ_CP044979.1,408,266,272235,1,1.5798275411549516
Bacillota,GCF_003288235.1,NZ_CP025208.1,41,28,31707,2,1.443530113297555
Bacillota,GCF_003345315.1,NZ_CP031100.1,100,36,26550,2,0.774841352719094
Bacillota,GCF_003445395.2,NZ_CP013278.1,252,82,91491,12,1.3068770426185867
Bacillota,GCF_003665275.1,NZ_CP032858.1,157,57,51615,1,0.5655172413793104
Bacillota,GCF_003665395.1,NZ_CP032873.1,157,57,51483,1,0.5594405594405595
Bacillota,GCF_004101525.1,NZ_CP035189.1,221,67,78042,1,0.6335978835978836
Bacillota,GCF_004119775.1,NZ_CP035408.1,28,28,23925,1,1.994269340974212
Bacillota,GCF_005155285.1,NZ_CP039724.1,251,81,90618,12,1.3038256478786352
Bacillota,GCF_006349715.2,NZ_CP085499.1,394,262,265041,1,0.3941002949852507
Bacillota,GCF_006384875.1,NZ_CP029455.1,389,264,288936,1,0.3217797839754957
Bacillota,GCF_006385935.1,NZ_CP041065.1,127,104,99480,16,1.1896206956525948
Bacillota,GCF_006385935.1,NZ_CP041068.1,47,26,19992,16,1.1567824756127485
Bacillota,GCF_007106705.1,NZ_CP041516.1,48,25,18999,16,1.1584783285368443
Bacillota,GCF_007363175.1,NZ_CP034684.1,188,101,89121,1,0.6055045871559633
Bacillota,GCF_007833415.1,NZ_CP022399.1,24,18,14538,1,0.4277456647398844
Bacillota,GCF_007833435.1,NZ_CP022401.1,293,71,70746,1,0.4716981132075472
Bacillota,GCF_008369805.1,NZ_CP043613.1,65,50,46500,3,0.8455788816758673
Bacillota,GCF_009025915.1,NZ_CP045025.1,251,82,91491,12,1.3068770426185867
Bacillota,GCF_010365285.1,NZ_CP048288.1,251,62,73854,2,1.1028951215024008
Bacillota,GCF_012295505.1,NZ_CP051163.1,4,4,2829,11,1.129185429201721
Bacillota,GCF_012933245.2,NZ_CP059741.1,60,33,27540,1,1.4988179669030732
Bacillota,GCF_013146705.1,NZ_CP045269.1,22,8,8187,5,1.5047412867519034
Bacillota,GCF_013146705.1,NZ_CP045273.1,1170,489,494397,5,1.5135558374770344
Bacillota,GCF_013146705.1,NZ_CP045274.1,172,122,90927,5,1.2841929106531496
Bacillota,GCF_013267295.1,NZ_CP053971.1,249,81,90741,12,1.3049804995236831
Bacillota,GCF_013284455.2,NZ_CP085507.1,414,254,258351,1,0.3599483680619583
Bacillota,GCF_013284505.2,NZ_CP085511.1,412,253,249165,1,0.3530760412686282
Bacillota,GCF_013347265.1,NZ_CP054609.1,464,380,403002,18,1.02183912735671
Bacillota,GCF_013347265.1,NZ_CP054613.1,2303,1979,2075886,18,1.0223995125227752
Bacillota,GCF_013389435.1,NZ_CP058263.1,152,122,110358,18,1.118950247058311
Bacillota,GCF_013389435.1,NZ_CP058266.1,118,79,55716,18,1.0537784852779
Bacillota,GCF_013389435.1,NZ_CP058269.1,40,24,21297,18,1.0777817080592689
Bacillota,GCF_013458535.1,NZ_CP048884.1,155,118,102444,18,1.1034185100960228
Bacillota,GCF_013458535.1,NZ_CP048886.1,164,115,87471,18,1.1003172747528824
Bacillota,GCF_013458535.1,NZ_CP048891.1,74,35,24615,18,1.0508417379491766
Bacillota,GCF_013458535.1,NZ_CP048892.1,42,14,12225,18,1.0752083532959644
Bacillota,GCF_014692735.1,NZ_CP061173.1,162,51,56814,4,1.143126132115668
Bacillota,GCF_014905055.1,NZ_CP050543.1,57,29,25335,1,1.0166112956810631
Bacillota,GCF_016649195.2,NZ_CP117405.1,107,63,55848,2,0.5104213457596047
Bacillota,GCF_016649195.2,NZ_CP117408.1,78,36,39816,2,0.4989527267732825
Bacillota,GCF_017086545.1,NZ_CP069398.1,179,122,117543,16,1.184930891365246
Bacillota,GCF_017086545.1,NZ_CP069401.1,70,49,50193,16,1.1585295403762716
Bacillota,GCF_017086545.1,NZ_CP069402.1,48,32,29952,16,1.2012199691717869
Bacillota,GCF_017086565.1,NZ_CP069607.1,187,130,108768,16,1.1714560447012592
Bacillota,GCF_017086565.1,NZ_CP069609.1,64,48,43875,16,1.1827072194659556
Bacillota,GCF_017352315.1,NZ_CP071470.1,105,70,53112,17,1.1615562361166274
Bacillota,GCF_017352315.1,NZ_CP071473.1,96,75,55836,17,1.1468980119086256
Bacillota,GCF_017352315.1,NZ_CP071477.1,47,28,23790,17,1.1329661673724756
Bacillota,GCF_017576965.1,NZ_CP071896.1,35,27,23406,1,0.6696629213483146
Bacillota,GCF_017603845.1,NZ_CP071971.1,272,76,77727,1,0.573170731707317
Bacillota,GCF_017638885.1,NZ_CP072179.1,115,69,74814,1,1.6228727025187202
Bacillota,GCF_017743055.1,NZ_CP072474.1,211,162,119079,17,1.1175098416231397
Bacillota,GCF_017743055.1,NZ_CP072477.1,116,90,76173,17,1.0804033250450098
Bacillota,GCF_017798265.1,NZ_CP065214.1,136,92,81408,15,1.2226503308433492
Bacillota,GCF_017798265.1,NZ_CP065215.1,61,41,41916,15,1.2041827080005485
Bacillota,GCF_017840575.1,NZ_CP072659.1,57,25,21924,1,0.6356589147286822
Bacillota,GCF_017894345.1,NZ_CP059277.1,126,46,59529,1,0.4789644012944983
Bacillota,GCF_018219285.1,NZ_CP064407.1,143,102,99534,1,0.4696485623003195
Bacillota,GCF_018326305.1,NZ_AP023416.1,805,680,639885,11,1.21892742678
Bacillota,GCF_018408705.1,NZ_AP023421.1,488,439,406287,7,1.231972814330129
Bacillota,GCF_018517045.1,NZ_CP065768.1,137,93,81399,1,0.4978061428001596
Bacillota,GCF_018604565.1,NZ_CP075898.1,114,75,70761,1,0.7428571428571429
Bacillota,GCF_018739625.1,NZ_CP036019.1,35,26,23295,2,1.0285310836742825
Bacillota,GCF_018739645.1,NZ_CP036025.1,380,271,277266,1,0.3727770177838577
Bacillota,GCF_018739665.1,NZ_CP036030.1,351,240,224808,1,0.3440955329500221
Bacillota,GCF_018798865.1,NZ_CP076340.1,62,28,23928,1,0.6304347826086957
Bacillota,GCF_018884225.1,NZ_CP065541.1,131,52,61473,4,0.7404836578502236
Bacillota,GCF_018884705.1,NZ_CP037807.1,171,54,46929,1,0.4327485380116959
Bacillota,GCF_018884845.1,NZ_CP037823.1,179,59,48840,1,0.4298160696999032
Bacillota,GCF_018885325.1,NZ_CP076525.1,7,7,5184,1,1.7435897435897436
Bacillota,GCF_019175485.1,NZ_CP072889.1,1096,944,948822,1,0.982152256088808
Bacillota,GCF_019334685.1,NZ_CP079760.1,94,54,53655,1,0.752895752895753
Bacillota,GCF_019968665.1,NZ_CP083270.1,107,76,67500,15,1.2261800173576556
Bacillota,GCF_019968665.1,NZ_CP083271.1,58,39,43926,15,1.2072114636669238
Bacillota,GCF_020002245.1,NZ_CP082364.1,340,258,280083,15,0.9182898770032982
Bacillota,GCF_020097215.1,NZ_CP083617.1,161,55,46197,1,0.4869739478957915
Bacillota,GCF_020138415.1,NZ_CP075921.1,53,29,25287,1,0.2507836990595611
Bacillota,GCF_020138475.1,NZ_CP075931.1,55,36,29553,1,0.6016713091922006
Bacillota,GCF_020138515.1,NZ_CP075943.1,56,37,30294,1,0.5967741935483871
Bacillota,GCF_020138615.1,NZ_CP075960.1,52,25,26088,1,0.2752562225475842
Bacillota,GCF_020139275.1,NZ_CP076003.1,55,35,29769,1,0.5865921787709497
Bacillota,GCF_020139295.1,NZ_CP076006.1,55,25,24300,1,0.3246554364471669
Bacillota,GCF_020388395.1,NZ_CP077935.1,232,215,190923,8,1.0561811467775928
Bacillota,GCF_020628555.1,NZ_CP081467.1,174,52,58953,2,0.8558163692786124
Bacillota,GCF_020628735.1,NZ_CP081473.1,174,52,58926,2,0.8562276616591107
Bacillota,GCF_020790095.1,NZ_CP086209.1,164,122,91341,15,1.231776246237731
Bacillota,GCF_020790095.1,NZ_CP086210.1,61,40,43470,15,1.2012774584678148
Bacillota,GCF_020809185.1,NZ_CP083137.1,252,82,91470,12,1.3059766743108647
Bacillota,GCF_020995385.1,NZ_CP087960.1,74,41,44286,1,1.6697038724373576
Bacillota,GCF_021172105.3,NZ_CP092374.1,149,135,134814,1,0.1758436944937833
Bacillota,GCF_021172185.1,NZ_CP089149.1,171,58,50118,1,0.6212121212121212
Bacillota,GCF_021655315.1,NZ_AP022988.1,201,100,112011,1,0.3760217983651226
Bacillota,GCF_022023815.1,NZ_CP059458.1,40,25,21345,16,1.2126943342991257
Bacillota,GCF_022350025.1,NZ_CP092265.1,66,34,27288,1,0.4712041884816754
Bacillota,GCF_022537925.1,NZ_CP092389.1,120,85,82998,18,1.0980832843635129
Bacillota,GCF_022537925.1,NZ_CP092390.1,43,25,20142,18,1.1064596140260332
Bacillota,GCF_022537925.1,NZ_CP092391.1,30,16,12549,18,1.1490120089918467
Bacillota,GCF_022691485.1,NZ_CP092577.1,81,64,48018,1,0.4555382215288611
Bacillota,GCF_022811825.1,NZ_CP064098.1,115,85,79074,17,1.134393481463652
Bacillota,GCF_022811825.1,NZ_CP064102.1,62,43,47667,17,1.1288027172266446
Bacillota,GCF_022811865.1,NZ_CP064271.1,171,116,97311,15,1.2257449646857583
Bacillota,GCF_022811865.1,NZ_CP064274.1,59,41,44100,15,1.2048441814573856
Bacillota,GCF_022811885.1,NZ_CP064276.1,111,70,67191,15,1.227424155923155
Bacillota,GCF_022811885.1,NZ_CP064277.1,62,43,44940,15,1.2038809618219806
Bacillota,GCF_023159405.1,NZ_CP078082.1,288,207,241308,2,0.918975387037896
Bacillota,GCF_023159405.1,NZ_CP078085.1,39,28,26364,2,0.9959972247424882
Bacillota,GCF_023299725.1,NZ_CP097023.1,138,94,82308,1,0.4944794952681388
Bacillota,GCF_023380225.1,NZ_CP093363.1,59,24,19845,2,1.7862625647273835
Bacillota,GCF_023586825.4,NZ_CP097785.1,166,47,48972,6,1.42787138010915
Bacillota,GCF_023586845.4,NZ_CP097781.1,166,47,48972,6,1.42787138010915
Bacillota,GCF_023823145.1,NZ_CP077103.1,57,44,45024,2,1.4380460725022353
Bacillota,GCF_023823895.1,NZ_CP085716.1,83,65,61029,17,1.1678225982321482
Bacillota,GCF_023824035.1,NZ_CP085401.1,105,62,49785,1,0.6119402985074627
Bacillota,GCF_023824095.1,NZ_CP085411.1,38,27,23574,2,0.9956083699302504
Bacillota,GCF_023824135.1,NZ_CP085416.1,161,120,105231,17,1.1382069577398473
Bacillota,GCF_023824135.1,NZ_CP085422.1,109,67,45300,17,1.1706179220778434
Bacillota,GCF_023824135.1,NZ_CP085423.1,38,23,18609,17,1.097997239352173
Bacillota,GCF_023824155.1,NZ_CP085427.1,161,119,102357,2,1.0531081742535489
Bacillota,GCF_023824175.1,NZ_CP085432.1,164,123,107454,14,1.2785243959313155
Bacillota,GCF_023824175.1,NZ_CP085433.1,170,123,94761,14,1.276048309388646
Bacillota,GCF_023824175.1,NZ_CP085438.1,47,28,21312,14,1.2268022430426806
Bacillota,GCF_023824175.1,NZ_CP085439.1,45,22,16557,14,1.2315594264796017
Bacillota,GCF_023824175.1,NZ_CP085440.1,48,24,17790,14,1.2658504493516098
Bacillota,GCF_023824195.1,NZ_CP085443.1,176,127,89754,18,1.0935888891348884
Bacillota,GCF_023824195.1,NZ_CP085444.1,113,85,71373,18,1.0866617517351769
Bacillota,GCF_023824195.1,NZ_CP085448.1,86,59,36531,18,1.091364004230328
Bacillota,GCF_024172645.1,NZ_CP016468.1,203,169,147099,18,1.056176212584253
Bacillota,GCF_024181685.1,NZ_CP060174.1,2,1,237,13,1.1234432234432234
Bacillota,GCF_024181705.1,NZ_CP060183.1,29,16,9723,1,0.3524229074889868
Bacillota,GCF_024181705.1,NZ_CP060185.1,32,22,23487,1,0.7737909516380655
Bacillota,GCF_024204785.1,NZ_CP093183.1,11,8,5250,1,1.6
Bacillota,GCF_024204905.1,NZ_CP093199.1,43,26,19338,1,1.670807453416149
Bacillota,GCF_024204985.1,NZ_CP093214.1,15,8,5367,1,1.5778894472361809
Bacillota,GCF_024509915.1,NZ_CP063415.1,102,81,65412,1,1.24468085106383
Bacillota,GCF_024599955.1,NZ_CP102306.1,56,25,23025,1,0.2686567164179104
Bacillota,GCF_024652885.1,NZ_CP102426.1,147,44,59292,2,1.2055319276162857
Bacillota,GCF_025309655.1,NZ_CP104393.1,975,809,791904,1,0.969668579458953
Bacillota,GCF_025913555.1,NZ_CP109762.1,122,83,62196,16,1.2146696493125586
