GCF_ID,Plasmid_ID,Length,Total_tRNA,sample_id,num_contigs,size,gc,md5,rep_type(s),rep_type_accession(s),relaxase_type(s),relaxase_type_accession(s),mpf_type,mpf_type_accession(s),orit_type(s),orit_accession(s),predicted_mobility,mash_nearest_neighbor,mash_neighbor_distance,mash_neighbor_identification,primary_cluster_id,secondary_cluster_id,predicted_host_range_overall_rank,predicted_host_range_overall_name,observed_host_range_ncbi_rank,observed_host_range_ncbi_name,reported_host_range_lit_rank,reported_host_range_lit_name,associated_pmid(s),has_tRNA,mobility_status,size_group
GCF_004799645.1,NZ_CP031308.1,146189,1,"NZ_CP031308.1 Natronorubrum bangense strain JCM 10635 plasmid unnamed3, complete sequence",1.0,146189.0,0.5538515209762704,db1e1c43eb397f57ae8ac849cfd533b0,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_004799645.1,NZ_CP031309.1,115465,2,"NZ_CP031309.1 Natronorubrum bangense strain JCM 10635 plasmid unnamed4, complete sequence",1.0,115465.0,0.5766595938163079,4665d7a34ab3cab8e4e8cf105fb9bc53,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_005310945.1,NZ_CP039134.1,155291,1,"NZ_CP039134.1 Haloarcula marismortui ATCC 43049 plasmid pHMA155, complete sequence",1.0,155291.0,0.5833048921057885,0ad1e4a50b0ca0b9cea5f6fa768de21e,-,-,-,-,-,-,-,-,non-mobilizable,CP023440,0.295981,Thauera sp. K11,AG105,AQ123,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_005310945.1,NZ_CP039136.1,288045,1,"NZ_CP039136.1 Haloarcula marismortui ATCC 43049 plasmid pHMA288, complete sequence",1.0,288045.0,0.5722890520578382,13ae1e8a4ba4060b1c1e0d9f36723c5a,-,-,-,-,-,-,-,-,non-mobilizable,CP032344,0.295981,Azospirillum brasilense,AD931,AN625,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_005406325.1,NZ_CP039141.1,321907,1,"NZ_CP039141.1 Haloferax mediterranei ATCC 33500 plasmid pHME322, complete sequence",1.0,321907.0,0.578987098758337,b043a540840c5cbbb95d4a2ecb943bdb,-,-,-,-,-,-,-,-,non-mobilizable,LR134455,0.295981,Tsukamurella tyrosinosolvens,AE457,AO240,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_005576615.1,NZ_CP040331.1,492102,12,NZ_CP040331.1 Natrinema versiforme strain BOL5-4 plasmid pNVE500,1.0,492102.0,0.5628711120865186,dd0964131256a5dbe758bb6dae191872,-,-,-,-,MPF_T,"NC_019963_00206,NC_019963_00204",-,-,non-mobilizable,CP016354,0.295981,Prauserella marina,AH450,AR506,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_009392895.1,NZ_CP045490.1,356702,1,NZ_CP045490.1 Natronorubrum aibiense strain 7-3 plasmid unnamed2,1.0,356702.0,0.5912442318798324,ab44b05d6ddb347ca60500d1b21420b8,-,-,-,-,-,-,-,-,non-mobilizable,CP013299,0.295981,Arthrobacter sp. YC-RL1,AE990,AO885,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_013401515.1,NZ_CP058532.1,148857,21,"NZ_CP058532.1 Halorarum halophilum strain Gai3-2 plasmid unnamed3, complete sequence",1.0,148857.0,0.6112846557434316,2ecd304a4837c1d11667486b491f6844,-,-,-,-,-,-,-,-,non-mobilizable,CP013205,0.295981,Paenibacillus sp. IHB B 3084,AD605,AN215,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_013402815.2,NZ_CP084881.1,56996,1,"NZ_CP084881.1 Natrinema halophilum strain YPL8 plasmid unnamed2, complete sequence",1.0,56996.0,0.5902694925959716,54d19699e237f8c8d06a9a1b44063ec2,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,<100 kb
GCF_013456555.2,NZ_CP084882.1,508040,1,"NZ_CP084882.1 Natrinema zhouii strain YPL30 plasmid unnamed1, complete sequence",1.0,508040.0,0.5452818675694827,61363d715389702c5a6ad8d87d4507b4,-,-,-,-,MPF_T,NC_013746_00233,-,-,non-mobilizable,CP028904,0.295981,Azospirillum humicireducens,AG728,AQ783,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_013456555.2,NZ_CP084884.1,358925,1,"NZ_CP084884.1 Natrinema zhouii strain YPL30 plasmid unnamed3, complete sequence",1.0,358925.0,0.5717629031134638,fe35a3957a7574fa27300fe7fdb6d831,-,-,-,-,MPF_T,NC_013746_00233,-,-,non-mobilizable,AP008932,0.295981,Rhodococcus erythropolis PR4,AD998,AN696,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_014969745.1,NZ_CP063206.1,608598,1,"NZ_CP063206.1 Haloferax gibbonsii strain LR2-5 plasmid pHGLR1, complete sequence",1.0,608598.0,0.6165366958156288,32db3e8c8d52115fefee497979fa1071,-,-,-,-,MPF_T,NC_015955_00540,-,-,non-mobilizable,CP007745,0.295981,Burkholderia cepacia ATCC 25416,AF428,AP376,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_014969745.1,NZ_CP063207.1,322970,1,"NZ_CP063207.1 Haloferax gibbonsii strain LR2-5 plasmid pHGLR2, complete sequence",1.0,322970.0,0.6691147784623959,d2c5a23d1ef8d63498e1a86ebdf8d867,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_018200015.1,NZ_CP073368.1,540110,2,"NZ_CP073368.1 Haloarcula sinaiiensis ATCC 33800 plasmid pHsi540, complete sequence",1.0,540110.0,0.5668511969783933,a9c4befe0e1a3dc5dea616418496ca03,-,-,-,-,-,-,-,-,non-mobilizable,CP022371,0.295981,Bosea sp. AS-1,AE262,AO007,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_019823105.1,NZ_CP081959.1,271515,1,"NZ_CP081959.1 Halobaculum magnesiiphilum strain NBRC 109044 plasmid unnamed1, complete sequence",1.0,271515.0,0.5706204077122811,4bb6324565ec81b8ce02863e0bf44028,-,-,-,-,-,-,-,-,non-mobilizable,CP014802,0.295981,Salipiger profundus,AC364,AL532,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_019880245.1,NZ_CP082287.1,240419,9,"NZ_CP082287.1 Halobaculum roseum strain CGMCC 1.15501 plasmid unnamed1, complete sequence",1.0,240419.0,0.5852615641858588,7c849da26ec58ba33846d850a9126a3f,-,-,-,-,MPF_T,"NC_002608_00127,NC_002608_00126",-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_019880245.1,NZ_CP082289.1,161865,1,"NZ_CP082289.1 Halobaculum roseum strain CGMCC 1.15501 plasmid unnamed3, complete sequence",1.0,161865.0,0.5874154387915855,59b428040cd984ee0e9064deaa1238bd,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_020217425.1,NZ_CP084091.1,418158,1,"NZ_CP084091.1 Halomicrobium urmianum strain IBRC-M: 10911 plasmid unnamed1, complete sequence",1.0,418158.0,0.6001248331970213,f8befe0d132290f29e981962b0295be5,-,-,-,-,MPF_T,NC_002608_00127,-,-,non-mobilizable,CP016293,0.295981,Rhizobium leguminosarum,AD578,AN180,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_020405185.1,NZ_CP084464.1,394162,1,"NZ_CP084464.1 Halomicrobium salinisoli strain LT50 plasmid unnamed1, complete sequence",1.0,394162.0,0.675597850629944,dfc54ea46e333138fb91e26aa7f3e88d,-,-,-,-,-,-,-,-,non-mobilizable,LR134459,0.263022,Tsukamurella tyrosinosolvens,AG438,AQ473,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_020614375.1,NZ_CP085328.1,487259,1,"NZ_CP085328.1 Haladaptatus salinisoli strain PSR8 plasmid unnamed1, complete sequence",1.0,487259.0,0.5389002563318481,6a5f52eee8c31a317423f0a579afeb8e,-,-,-,-,-,-,-,-,non-mobilizable,CP022568,0.295981,Rhizobium leguminosarum bv. viciae,AC690,AL983,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_020614375.1,NZ_CP085333.1,338577,1,"NZ_CP085333.1 Haladaptatus salinisoli strain PSR8 plasmid unnamed6, complete sequence",1.0,338577.0,0.5104097443122244,ecedc06dda1a387076acc1622b8d5637,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_020614395.1,NZ_CP085325.1,135207,1,"NZ_CP085325.1 Salarchaeum japonicum strain JCM 16327 plasmid unnamed1, complete sequence",1.0,135207.0,0.588268358886744,a60c746254a5157cf6bcf8499b7bd6ab,-,-,-,-,MPF_T,NC_002608_00127,-,-,non-mobilizable,CP000929,0.295981,Caulobacter sp. K31,AG154,AQ175,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_020618475.1,NZ_CP085337.1,816114,2,"NZ_CP085337.1 Haladaptatus halobius strain PSR5 plasmid unnamed1, complete sequence",1.0,816114.0,0.5643868381133028,6d2ec1eee6eb6cfb22e43850f5cc970f,-,-,-,-,-,-,-,-,non-mobilizable,CP022568,0.295981,Rhizobium leguminosarum bv. viciae,AC690,AL983,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_020618475.1,NZ_CP085339.1,599015,3,"NZ_CP085339.1 Haladaptatus halobius strain PSR5 plasmid unnamed3, complete sequence",1.0,599015.0,0.5212607363755498,5f1161f7e3a27f1c33e75e030d4fe4b1,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_020700235.1,NZ_CP085302.1,572393,3,"NZ_CP085302.1 Haladaptatus pallidirubidus strain YIM 93656 plasmid unnamed1, complete sequence",1.0,572393.0,0.5270067942829489,1557c11f42ae917d85df2fe0f6effd0d,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_020700235.1,NZ_CP085303.1,365107,1,"NZ_CP085303.1 Haladaptatus pallidirubidus strain YIM 93656 plasmid unnamed2, complete sequence",1.0,365107.0,0.4855973728249527,aa3b0611d1f402ff68430dee29432ea8,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_020700235.1,NZ_CP085304.1,276260,1,"NZ_CP085304.1 Haladaptatus pallidirubidus strain YIM 93656 plasmid unnamed3, complete sequence",1.0,276260.0,0.5160899152971838,0a4172cdd3ecbfd43fb0aed524e181e3,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_020700235.1,NZ_CP085306.1,114740,1,"NZ_CP085306.1 Haladaptatus pallidirubidus strain YIM 93656 plasmid unnamed5, complete sequence",1.0,114740.0,0.5137354017779328,6e1637a3be475a70ce0d1531766df1fe,-,-,-,-,-,-,-,-,non-mobilizable,AY027524,0.295981,Frankia torreyi,AG936,AQ992,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_021249405.1,NZ_CP089595.1,121104,3,"NZ_CP089595.1 Halobacterium zhouii strain XZYJT26 plasmid unnamed2, complete sequence",1.0,121104.0,0.584794887039239,935a4857088ab5f2c579f9c84865132e,-,-,-,-,MPF_T,NC_002608_00127,-,-,non-mobilizable,CP030129,0.295981,Indioceanicola profundi,AH353,AR409,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_022870485.1,NZ_CP095006.1,406045,5,"NZ_CP095006.1 Halococcus dombrowskii strain H4 plasmid unnamed1, complete sequence",1.0,406045.0,0.5567683384846507,71b4335706361f727f33c844e628dad1,-,-,-,-,-,-,-,-,non-mobilizable,CP032292,0.295981,Enterobacter cloacae,AA051,AH646,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_022870485.1,NZ_CP095007.1,260739,1,"NZ_CP095007.1 Halococcus dombrowskii strain H4 plasmid unnamed2, complete sequence",1.0,260739.0,0.5663287808881678,dfb4802e81595d132368227bde3d67e8,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_022870485.1,NZ_CP095009.1,350887,2,"NZ_CP095009.1 Halococcus dombrowskii strain H4 plasmid unnamed4, complete sequence",1.0,350887.0,0.5784910811742812,eb00558c830b900b58a2e4dba0198cda,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_023008545.1,NZ_CP095398.1,861699,6,"NZ_CP095398.1 Natribaculum luteum strain IBRC-M 10912 plasmid unnamed1, complete sequence",1.0,861699.0,0.592481829501949,bc6d2b3d93da610193c2b7b22c5be0be,-,-,-,-,-,-,-,-,non-mobilizable,CP022568,0.295981,Rhizobium leguminosarum bv. viciae,AC690,AL983,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_023238205.1,NZ_CP096662.1,168596,13,"NZ_CP096662.1 Halorussus limi strain XZYJT49 plasmid unnamed3, complete sequence",1.0,168596.0,0.5769531898740183,c1666298f2478095a34cb25a5a331a22,-,-,-,-,MPF_T,NC_002608_00127,-,-,non-mobilizable,AP012038,0.295981,Acidiphilium multivorum AIU301,AD777,AN432,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_023238205.1,NZ_CP096663.1,150469,1,"NZ_CP096663.1 Halorussus limi strain XZYJT49 plasmid unnamed4, complete sequence",1.0,150469.0,0.5619097621436974,0b9177dcba6db80db022a7b3480973cb,-,-,-,-,MPF_T,NC_015955_00255,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_023703795.1,NZ_CP098520.1,200002,11,"NZ_CP098520.1 Haloplanus pelagicus strain HW8-1 plasmid unnamed2, complete sequence",1.0,200002.0,0.5798092019079809,2a17e8e75408d53f20caaa45face0e7d,-,-,-,-,-,-,-,-,non-mobilizable,AP012038,0.295981,Acidiphilium multivorum AIU301,AD777,AN432,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_024204665.1,NZ_CP100358.1,58468,1,"NZ_CP100358.1 Natronosalvus rutilus strain WLHS1 plasmid unnamed3, complete sequence",1.0,58468.0,0.6381268386125744,dd66d9fa5d1366573017dd15a809424b,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,<100 kb
GCF_024218795.1,NZ_CP100403.1,312460,1,"NZ_CP100403.1 Halorussus aquaticus strain XZYJ18 plasmid unnamed2, complete sequence",1.0,312460.0,0.5588267298214171,d46aba27a69ccf4bb9737c967282e6bd,-,-,-,-,MPF_T,"NC_015955_00540,NC_015667_00008",-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_024218795.1,NZ_CP100402.1,404376,2,"NZ_CP100402.1 Halorussus aquaticus strain XZYJ18 plasmid unnamed3, complete sequence",1.0,404376.0,0.5940634459018339,f23f3c0aa11ca0a8c1321f767cc91275,-,-,-,-,-,-,-,-,non-mobilizable,BX649209,0.295981,Mycobacterium ulcerans Agy99,AE252,AN996,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_024228315.1,NZ_CP100457.1,144667,1,"NZ_CP100457.1 Halomarina pelagica strain BND7 plasmid unnamed3, complete sequence",1.0,144667.0,0.5653673609046984,e23fb47cb8503f483a00023fe215cff1,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_024228675.1,NZ_CP100462.1,437029,1,"NZ_CP100462.1 Salinigranum marinum strain ZS-10 plasmid unnamed1, complete sequence",1.0,437029.0,0.6384930977120511,d9c0a3c315e2ec9a4d6aad63bd7bbcee,-,-,-,-,-,-,-,-,non-mobilizable,CP029341,0.295981,Streptomyces sp. SM17,AF448,AP396,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_024298865.1,NZ_CP101162.1,288219,1,"NZ_CP101162.1 Halorarius halobius strain ZY10 plasmid unnamed1, complete sequence",1.0,288219.0,0.5834035924071627,32a67869f8082717b424e14d5699265c,-,-,-,-,-,-,-,-,non-mobilizable,AP017604,0.295981,Sphingopyxis sp. EG6,AF110,AP024,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_026248685.1,NZ_CP111040.1,606999,2,"NZ_CP111040.1 Haladaptatus caseinilyticus strain ZJ1 plasmid unnamed4, complete sequence",1.0,606999.0,0.5120370873757617,22095b3b7d9245684d2e12458b8fbfb9,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_026248685.1,NZ_CP111041.1,557465,1,"NZ_CP111041.1 Haladaptatus caseinilyticus strain ZJ1 plasmid unnamed5, complete sequence",1.0,557465.0,0.5288762523207735,51367acd2cbb097d07c3f65ee0fe4934,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_026248685.1,NZ_CP111042.1,389240,1,"NZ_CP111042.1 Haladaptatus caseinilyticus strain ZJ1 plasmid unnamed6, complete sequence",1.0,389240.0,0.5112424211283527,5161cc1aa9cb2fd8c99eccef2ca2cfeb,-,-,-,-,-,-,-,-,non-mobilizable,CP015740,0.263022,Shinella sp. HZN7,AF729,AP720,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_026410925.1,NZ_CP112973.1,188763,1,"NZ_CP112973.1 Halovenus salina strain JCM 30072 plasmid unnamed1, complete sequence",1.0,188763.0,0.5494244105041772,53d259f62a924b4c7f12203800479b8c,-,-,-,-,-,-,-,-,non-mobilizable,CP019422,0.295981,Mycobacterium sp. MS1601,AF397,AP342,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_026410925.1,NZ_CP112974.1,135744,1,"NZ_CP112974.1 Halovenus salina strain JCM 30072 plasmid unnamed2, complete sequence",1.0,135744.0,0.5355522159358793,7b4d4cdf1e185f6755f51a6a9a10d329,-,-,-,-,-,-,-,-,non-mobilizable,CP017784,0.295981,Rhodobacter sp. LPB0142,AE526,AO325,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_026410925.1,NZ_CP112975.1,117008,1,"NZ_CP112975.1 Halovenus salina strain JCM 30072 plasmid unnamed3, complete sequence",1.0,117008.0,0.5419629427047723,7a943df66b330c2d1219c19d633b9aec,-,-,-,-,-,-,-,-,non-mobilizable,D14281,0.295981,Streptomyces flavovirens,AC792,AM130,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_028747785.1,NZ_CP118160.1,156772,26,"NZ_CP118160.1 Halosimplex aquaticum strain XZYJT29 plasmid unnamed2, complete sequence",1.0,156772.0,0.5708353532518562,903117cb2952c680c2809e23dab358c6,-,-,-,-,-,-,-,-,non-mobilizable,AP012038,0.295981,Acidiphilium multivorum AIU301,AD777,AN432,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_029278565.1,NZ_CP119561.1,363408,20,"NZ_CP119561.1 Haloarcula halophila strain DFY41 plasmid unnamed2, complete sequence",1.0,363408.0,0.5883387267203803,d5bb0c9ac20616fd106795d4f79ba152,-,-,-,-,-,-,-,-,non-mobilizable,CP016458,0.295981,Blastomonas sp. RAC04,AA340,AI287,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_029338275.1,NZ_CP119790.1,335333,5,"NZ_CP119790.1 Haloarcula ordinaria strain ZS-22-S1 plasmid unnamed1, complete sequence",1.0,335333.0,0.5982381692228322,561127fa58ea6cb80d76724949890ee2,-,-,-,-,-,-,-,-,non-mobilizable,CP000665,0.295981,Rhodobacter sphaeroides ATCC 17025,AG652,AQ703,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_029338335.1,NZ_CP119797.1,916029,1,"NZ_CP119797.1 Halomontanus rarus strain TS33 plasmid unnamed1, complete sequence",1.0,916029.0,0.6315673412086299,976633ad3a1879cbf3e7786abca4994b,-,-,-,-,-,-,-,-,non-mobilizable,FQ311874,0.295981,Azospirillum lipoferum 4B,AB810,AK754,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_029338335.1,NZ_CP119800.1,402143,1,"NZ_CP119800.1 Halomontanus rarus strain TS33 plasmid unnamed4, complete sequence",1.0,402143.0,0.6388051016678147,a5c4cac68f55d1d6ba235075f781e3d2,-,-,-,-,-,-,-,-,non-mobilizable,CP018918,0.295981,Serratia marcescens,AF788,AP786,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_030127105.1,NZ_CP126162.1,478761,1,"NZ_CP126162.1 Haloarcula pelagica strain YJ-61-S plasmid unnamed1, complete sequence",1.0,478761.0,0.6528789939030122,99a7a3640732908317db215741f9c5ca,-,-,-,-,-,-,-,-,non-mobilizable,CP007745,0.295981,Burkholderia cepacia ATCC 25416,AF428,AP376,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_030505615.1,NZ_CP129994.1,560538,21,"NZ_CP129994.1 Salinibaculum rarum strain KK48 plasmid unnamed2, complete sequence",1.0,560538.0,0.5288686940046884,6b3ac1f0ab21a22540a3a6b178b67f4b,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_030734185.1,NZ_CP132293.1,336977,10,"NZ_CP132293.1 Salinirarus marinus strain XH8 plasmid unnamed, complete sequence",1.0,336977.0,0.5779207483003291,8f7b49ab0143652330d564600d2b80f9,-,-,-,-,-,-,-,-,non-mobilizable,CP033860,0.295981,Acinetobacter sp. FDAARGOS_493,AD036,AM449,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_036584055.1,NZ_CP144462.1,419659,1,"NZ_CP144462.1 Halalkalicoccus salilacus strain FCH27 plasmid unnamed1, complete sequence",1.0,419659.0,0.5619681693946752,c955cc90de42890136f50f853a70b0f2,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_036584055.1,NZ_CP144463.1,261501,1,"NZ_CP144463.1 Halalkalicoccus salilacus strain FCH27 plasmid unnamed2, complete sequence",1.0,261501.0,0.5433592988172129,d2e50ff9f8183edaf377d5d887abc08f,-,-,-,-,-,-,-,-,non-mobilizable,CP031654,1.0,Escherichia coli,AA379,AI397,-,-,-,-,-,-,-,True,available,≥100 kb
GCF_037335815.1,NZ_CP147842.1,564524,2,NZ_CP147842.1 Salinirubellus litoreus strain SYNS196 plasmid unnamed1,1.0,564524.0,0.6089413381893418,2321248878e5e1fcfa1ea69b921a8453,-,-,-,-,-,-,-,-,non-mobilizable,KF577590,0.295981,Brevibacterium sp. Ap13,AG632,AQ680,-,-,-,-,-,-,-,True,available,≥100 kb
