Replicon_Acc,Length,Total_tRNA,log10_size,has_tRNA,plot_eligible,size_bin
NZ_CP011565.1,124256,0,5.094317368865954,False,True,"(5.069, 5.207]"
NZ_LN831303.1,349522,0,5.54347451678528,False,True,"(5.483, 5.621]"
NZ_LN831304.1,157757,0,5.19798863887608,False,True,"(5.069, 5.207]"
NZ_LN831305.1,112459,1,5.050994217387746,True,True,"(4.931, 5.069]"
NZ_CP014751.1,49106,0,4.691134559489416,False,True,"(4.655, 4.793]"
NZ_CP019328.1,202531,0,5.306491507049616,False,True,"(5.207, 5.345]"
NZ_CP019329.1,180835,0,5.2572824904965785,False,True,"(5.207, 5.345]"
NZ_CP019330.1,54993,0,4.740307412133368,False,True,"(4.655, 4.793]"
NZ_CP014863.1,38045,0,4.58029758843657,False,True,"(4.517, 4.655]"
NZ_AP017559.1,138020,0,5.13994202306998,False,True,"(5.069, 5.207]"
NZ_AP017570.1,141523,0,5.150827026159696,False,True,"(5.069, 5.207]"
NZ_AP017571.1,103081,0,5.01317862303734,False,True,"(4.931, 5.069]"
NZ_CP026310.1,237003,0,5.374753843373815,False,True,"(5.345, 5.483]"
NZ_CP026311.1,198037,1,5.296746338719262,True,True,"(5.207, 5.345]"
NZ_CP026312.1,118877,0,5.075097836626077,False,True,"(5.069, 5.207]"
NZ_CP026313.1,129442,0,5.112075214576089,False,True,"(5.069, 5.207]"
NZ_CP026314.1,39196,0,4.593241748995836,False,True,"(4.517, 4.655]"
NZ_CP031147.1,225191,0,5.352551029481073,False,True,"(5.345, 5.483]"
NZ_CP031149.1,147062,1,5.167500467953262,True,True,"(5.069, 5.207]"
NZ_CP027032.1,235493,0,5.371978002307566,False,True,"(5.345, 5.483]"
NZ_CP024045.1,101047,0,5.004523424206728,False,True,"(4.931, 5.069]"
NZ_CP024046.1,166472,0,5.221341197193143,False,True,"(5.207, 5.345]"
NZ_CP034146.1,41138,0,4.614243173841994,False,True,"(4.517, 4.655]"
NZ_CP035120.1,303357,0,5.481954020794154,False,True,"(5.345, 5.483]"
NZ_CP035121.1,111878,0,5.048744694053373,False,True,"(4.931, 5.069]"
NZ_CP035122.1,58328,0,4.765877085227288,False,True,"(4.655, 4.793]"
NZ_CP034941.1,606697,0,5.782971847446658,False,True,"(5.759, 5.897]"
NZ_CP034942.1,57310,0,4.75823040845775,False,True,"(4.655, 4.793]"
NZ_CP038632.1,148406,0,5.171451459664138,False,True,"(5.069, 5.207]"
NZ_CP038633.1,102666,0,5.011426641677588,False,True,"(4.931, 5.069]"
NZ_CP031306.1,827667,10,5.9178556397420286,True,True,"(5.897, 6.034]"
NZ_CP031307.1,213905,0,5.33022093626405,False,True,"(5.207, 5.345]"
NZ_CP031308.1,146189,1,5.164914695337107,True,True,"(5.069, 5.207]"
NZ_CP031309.1,115465,2,5.062450359895619,True,True,"(4.931, 5.069]"
NZ_CP031312.1,397862,0,5.599732461442439,False,True,"(5.483, 5.621]"
NZ_CP031313.1,207965,0,5.317990250415251,False,True,"(5.207, 5.345]"
NZ_CP031314.1,185668,0,5.268737059254228,False,True,"(5.207, 5.345]"
NZ_CP039376.1,221861,0,5.34608096616445,False,True,"(5.345, 5.483]"
NZ_CP039133.1,33297,0,4.522405106114798,False,True,"(4.517, 4.655]"
NZ_CP039132.1,33451,0,4.524409105302357,False,True,"(4.517, 4.655]"
NZ_CP039135.1,132675,0,5.122789096301423,False,True,"(5.069, 5.207]"
NZ_CP039134.1,155291,1,5.191146286613303,True,True,"(5.069, 5.207]"
NZ_CP039136.1,288045,1,5.459460340971134,True,True,"(5.345, 5.483]"
NZ_CP039137.1,410547,0,5.613362882946852,False,True,"(5.483, 5.621]"
NZ_CP039142.1,131975,0,5.120491670672996,False,True,"(5.069, 5.207]"
NZ_CP039141.1,321907,1,5.507730420700274,True,True,"(5.483, 5.621]"
NZ_CP039140.1,504704,0,5.703036746721091,False,True,"(5.621, 5.759]"
NZ_CP040329.1,2465,0,3.391816923613249,False,True,"(3.276, 3.414]"
NZ_CP040333.1,18925,0,4.277035888172111,False,True,"(4.241, 4.379]"
NZ_CP040332.1,413865,0,5.616858700260187,False,True,"(5.483, 5.621]"
NZ_CP040331.1,492102,12,5.692055130096464,True,True,"(5.621, 5.759]"
NZ_CP040639.1,70939,0,4.850885062095567,False,True,"(4.793, 4.931]"
NZ_CP040638.1,203201,0,5.307925840882616,False,True,"(5.207, 5.345]"
NZ_CP040847.1,7674,0,3.8850217948622974,False,True,"(3.828, 3.966]"
NZ_CP044524.1,531768,0,5.725722199408556,False,True,"(5.621, 5.759]"
NZ_CP044525.1,219256,0,5.340951486787165,False,True,"(5.207, 5.345]"
NZ_CP044526.1,63455,0,4.8024658484457845,False,True,"(4.793, 4.931]"
NZ_CP045489.1,431477,0,5.6349576504815735,False,True,"(5.621, 5.759]"
NZ_CP045490.1,356702,1,5.552305544400111,True,True,"(5.483, 5.621]"
NZ_CP045491.1,207310,0,5.3166202516359355,False,True,"(5.207, 5.345]"
NZ_CP034344.1,267815,0,5.427834897675217,False,True,"(5.345, 5.483]"
NZ_CP053942.1,247617,0,5.393780457604739,False,True,"(5.345, 5.483]"
NZ_CP053943.1,155204,0,5.190902909934681,False,True,"(5.069, 5.207]"
NZ_CP058530.1,263745,0,5.421184235156963,False,True,"(5.345, 5.483]"
NZ_CP058531.1,186742,0,5.271242005773784,False,True,"(5.207, 5.345]"
NZ_CP058532.1,148857,21,5.1727692621597186,True,True,"(5.069, 5.207]"
NZ_CP084880.1,425401,0,5.628798506474024,False,True,"(5.621, 5.759]"
NZ_CP084881.1,56996,1,4.755844377797332,True,True,"(4.655, 4.793]"
NZ_CP058580.1,239483,0,5.379274689908277,False,True,"(5.345, 5.483]"
NZ_CP084882.1,508040,1,5.705897907353572,True,True,"(5.621, 5.759]"
NZ_CP084883.1,465323,0,5.667754519385228,False,True,"(5.621, 5.759]"
NZ_CP084884.1,358925,1,5.5550037090546605,True,True,"(5.483, 5.621]"
NZ_CP084885.1,224373,0,5.350970594756556,False,True,"(5.345, 5.483]"
NZ_CP063206.1,608598,1,5.784330520827947,True,True,"(5.759, 5.897]"
NZ_CP063207.1,322970,1,5.509162183508971,True,True,"(5.483, 5.621]"
NZ_CP063208.1,65035,0,4.813147144580467,False,True,"(4.793, 4.931]"
NZ_CP069193.1,96392,0,4.984040991371427,False,True,"(4.931, 5.069]"
NZ_CP069189.1,138030,0,5.1399734879844585,False,True,"(5.069, 5.207]"
NZ_CP069190.1,171484,0,5.234223605219205,False,True,"(5.207, 5.345]"
NZ_CP069191.1,220397,0,5.343205678690124,False,True,"(5.207, 5.345]"
NZ_CP069192.1,280619,0,5.4481170726645525,False,True,"(5.345, 5.483]"
NZ_CP084319.1,285490,0,5.455590900599803,False,True,"(5.345, 5.483]"
NZ_CP084320.1,161705,0,5.208723448718013,False,True,"(5.207, 5.345]"
NZ_CP100395.1,230191,0,5.362088339594615,False,True,"(5.345, 5.483]"
NZ_CP073370.1,55294,0,4.742678008189629,False,True,"(4.655, 4.793]"
NZ_CP073367.1,116596,0,5.066683651557425,False,True,"(4.931, 5.069]"
NZ_CP073372.1,139649,0,5.145037830147752,False,True,"(5.069, 5.207]"
NZ_CP073371.1,204099,0,5.309840876859403,False,True,"(5.207, 5.345]"
NZ_CP073369.1,387656,0,5.5884465102111776,False,True,"(5.483, 5.621]"
NZ_CP073368.1,540110,2,5.7324822182080855,True,True,"(5.621, 5.759]"
NZ_CP077714.1,37750,0,4.576916955965207,False,True,"(4.517, 4.655]"
NZ_CP077716.1,37840,0,4.577951127729755,False,True,"(4.517, 4.655]"
NZ_CP081959.1,271515,1,5.433793827432338,True,True,"(5.345, 5.483]"
NZ_CP081960.1,487397,0,5.687882851710717,False,True,"(5.621, 5.759]"
NZ_CP081961.1,8308,0,3.9194964878630616,False,True,"(3.828, 3.966]"
NZ_CP082285.1,93698,0,4.971730320895955,False,True,"(4.931, 5.069]"
NZ_CP082287.1,240419,9,5.380968786413444,True,True,"(5.345, 5.483]"
NZ_CP082288.1,336694,0,5.527235377183725,False,True,"(5.483, 5.621]"
NZ_CP082289.1,161865,1,5.209152951593855,True,True,"(5.207, 5.345]"
NZ_CP083664.1,356276,0,5.551786567737979,False,True,"(5.483, 5.621]"
NZ_CP083665.1,48463,0,4.685410294719332,False,True,"(4.655, 4.793]"
NZ_CP083667.1,422800,0,5.626134978635388,False,True,"(5.621, 5.759]"
NZ_CP083668.1,149551,0,5.1747893213662,False,True,"(5.069, 5.207]"
NZ_CP083669.1,99406,0,4.997412598564815,False,True,"(4.931, 5.069]"
NZ_CP083670.1,49319,0,4.693014262187993,False,True,"(4.655, 4.793]"
NZ_CP084091.1,418158,1,5.621340409915787,True,True,"(5.621, 5.759]"
NZ_CP084092.1,399575,0,5.601598308128284,False,True,"(5.483, 5.621]"
NZ_CP084093.1,75827,0,4.879823874010842,False,True,"(4.793, 4.931]"
NZ_CP084094.1,4491,0,3.652343055062715,False,True,"(3.552, 3.69]"
NZ_CP084095.1,1649,0,3.217220655644519,False,True,"(3.138, 3.276]"
NZ_CP084464.1,394162,1,5.5956747529068975,True,True,"(5.483, 5.621]"
NZ_CP084465.1,80696,0,4.90685200782019,False,True,"(4.793, 4.931]"
NZ_CP084470.1,400082,0,5.6021490125723865,False,True,"(5.483, 5.621]"
NZ_CP084471.1,113814,0,5.056195686916524,False,True,"(4.931, 5.069]"
NZ_CP085328.1,487259,1,5.687759869573629,True,True,"(5.621, 5.759]"
NZ_CP085329.1,558659,0,5.7471467996452255,False,True,"(5.621, 5.759]"
NZ_CP085330.1,539871,0,5.732289999302625,False,True,"(5.621, 5.759]"
NZ_CP085331.1,212646,0,5.327657217784742,False,True,"(5.207, 5.345]"
NZ_CP085332.1,14057,0,4.14789264483285,False,True,"(4.103, 4.241]"
NZ_CP085333.1,338577,1,5.529657452555103,True,True,"(5.483, 5.621]"
NZ_CP085334.1,17645,0,4.246621662695988,False,True,"(4.241, 4.379]"
NZ_CP085325.1,135207,1,5.1309991766845835,True,True,"(5.069, 5.207]"
NZ_CP085337.1,816114,2,5.911750828009829,True,True,"(5.897, 6.034]"
NZ_CP085338.1,600267,0,5.7783444684402605,False,True,"(5.759, 5.897]"
NZ_CP085339.1,599015,3,5.777437697741004,True,True,"(5.759, 5.897]"
NZ_CP085340.1,500187,0,5.6991324001061345,False,True,"(5.621, 5.759]"
NZ_CP085341.1,270724,0,5.432526758192167,False,True,"(5.345, 5.483]"
NZ_CP085342.1,187923,0,5.273979936895593,False,True,"(5.207, 5.345]"
NZ_CP085343.1,21460,0,4.331629717629932,False,True,"(4.241, 4.379]"
NZ_CP085302.1,572393,3,5.757694313976693,True,True,"(5.621, 5.759]"
NZ_CP085303.1,365107,1,5.5624201595239,True,True,"(5.483, 5.621]"
NZ_CP085304.1,276260,1,5.441318007475848,True,True,"(5.345, 5.483]"
NZ_CP085305.1,504052,0,5.702475342294983,False,True,"(5.621, 5.759]"
NZ_CP085306.1,114740,1,5.059714845546422,True,True,"(4.931, 5.069]"
NZ_CP085307.1,616502,0,5.789934489832894,False,True,"(5.759, 5.897]"
NZ_CP085884.1,42817,0,4.631616234908716,False,True,"(4.517, 4.655]"
NZ_CP085883.1,235323,0,5.371664376325731,False,True,"(5.345, 5.483]"
NZ_CP089467.1,11599,0,4.064420548433594,False,True,"(3.966, 4.103]"
NZ_CP089469.1,368639,0,5.566601279306321,False,True,"(5.483, 5.621]"
NZ_CP089470.1,54438,0,4.735902161260923,False,True,"(4.655, 4.793]"
NZ_CP089594.1,197166,0,5.294832025790471,False,True,"(5.207, 5.345]"
NZ_CP089595.1,121104,3,5.0831584878931615,True,True,"(5.069, 5.207]"
NZ_CP089596.1,1442,0,3.15896526038341,False,True,"(3.138, 3.276]"
NZ_CP095006.1,406045,5,5.608574166997647,True,True,"(5.483, 5.621]"
NZ_CP095007.1,260739,1,5.416205995564264,True,True,"(5.345, 5.483]"
NZ_CP095008.1,123302,0,5.090970121055743,False,True,"(5.069, 5.207]"
NZ_CP095009.1,350887,2,5.5451672783526265,True,True,"(5.483, 5.621]"
NZ_CP095010.1,56956,0,4.755539481349887,False,True,"(4.655, 4.793]"
NZ_CP095398.1,861699,6,5.935355588947971,True,True,"(5.897, 6.034]"
NZ_CP095399.1,93900,0,4.972665592266111,False,True,"(4.931, 5.069]"
NZ_CP095492.1,562212,0,5.749900111065382,False,True,"(5.621, 5.759]"
NZ_CP095493.1,200542,0,5.3022053418342265,False,True,"(5.207, 5.345]"
NZ_CP095494.1,88308,0,4.946000048973673,False,True,"(4.931, 5.069]"
NZ_CP095483.1,156912,0,5.195656157955956,False,True,"(5.069, 5.207]"
NZ_CP095484.1,109717,0,5.040273924148879,False,True,"(4.931, 5.069]"
NZ_CP095485.1,140250,0,5.146902869928199,False,True,"(5.069, 5.207]"
NZ_CP095486.1,8896,0,3.949194774237982,False,True,"(3.828, 3.966]"
NZ_CP095488.1,420925,0,5.6242047205677315,False,True,"(5.621, 5.759]"
NZ_CP095489.1,99424,0,4.99749123157488,False,True,"(4.931, 5.069]"
NZ_CP095490.1,558567,0,5.747075274112477,False,True,"(5.621, 5.759]"
NZ_CP096020.1,532509,0,5.726326952237173,False,True,"(5.621, 5.759]"
NZ_CP096021.1,415306,0,5.618368205485194,False,True,"(5.483, 5.621]"
NZ_CP096022.1,364940,0,5.562221467714351,False,True,"(5.483, 5.621]"
NZ_CP096023.1,172315,0,5.236323084375949,False,True,"(5.207, 5.345]"
NZ_AP025699.1,22428,0,4.350790547426457,False,True,"(4.241, 4.379]"
NZ_CP096660.1,414603,0,5.617632440253578,False,True,"(5.483, 5.621]"
NZ_CP096661.1,311372,0,5.493279556233934,False,True,"(5.483, 5.621]"
NZ_CP096662.1,168596,13,5.226847266620069,True,True,"(5.207, 5.345]"
NZ_CP096663.1,150469,1,5.177447034709281,True,True,"(5.069, 5.207]"
NZ_CP098416.1,101378,0,5.005943719146886,False,True,"(4.931, 5.069]"
NZ_CP098515.1,154567,0,5.189116777760169,False,True,"(5.069, 5.207]"
NZ_CP098516.1,163815,0,5.2143536661604655,False,True,"(5.207, 5.345]"
NZ_CP098517.1,107228,0,5.030308205670912,False,True,"(4.931, 5.069]"
NZ_CP098519.1,124451,0,5.094998390641173,False,True,"(5.069, 5.207]"
NZ_CP098520.1,200002,11,5.301034338587086,True,True,"(5.207, 5.345]"
NZ_CP099392.1,392952,0,5.594339503535016,False,True,"(5.483, 5.621]"
NZ_CP099393.1,378493,0,5.578057851895576,False,True,"(5.483, 5.621]"
NZ_CP099994.1,342099,0,5.5341518046874985,False,True,"(5.483, 5.621]"
NZ_CP099995.1,158515,0,5.200070365033233,False,True,"(5.069, 5.207]"
NZ_CP099996.1,58754,0,4.769037438923218,False,True,"(4.655, 4.793]"
NZ_CP099998.1,293861,0,5.468141952153999,False,True,"(5.345, 5.483]"
NZ_CP099999.1,47551,0,4.677159654604984,False,True,"(4.655, 4.793]"
NZ_CP100001.1,557511,0,5.746253440674766,False,True,"(5.621, 5.759]"
NZ_CP100002.1,239549,0,5.379394362230739,False,True,"(5.345, 5.483]"
NZ_CP100003.1,167465,0,5.223924053789702,False,True,"(5.207, 5.345]"
NZ_CP100004.1,130675,0,5.116192508769788,False,True,"(5.069, 5.207]"
NZ_CP100356.1,339965,0,5.531434207956111,False,True,"(5.483, 5.621]"
NZ_CP100357.1,126734,0,5.102893142361785,False,True,"(5.069, 5.207]"
NZ_CP100358.1,58468,1,4.7669182382905175,True,True,"(4.655, 4.793]"
NZ_CP100405.1,363878,0,5.560955799011827,False,True,"(5.483, 5.621]"
NZ_CP100406.1,18001,0,4.25529663190434,False,True,"(4.241, 4.379]"
NZ_CP100401.1,434135,0,5.63762480010759,False,True,"(5.621, 5.759]"
NZ_CP100403.1,312460,1,5.494794428428366,True,True,"(5.483, 5.621]"
NZ_CP100402.1,404376,2,5.606785372000893,True,True,"(5.483, 5.621]"
NZ_CP100446.1,715316,0,5.854497939337729,False,True,"(5.759, 5.897]"
NZ_CP100447.1,113539,0,5.055145064837479,False,True,"(4.931, 5.069]"
NZ_CP100449.1,374934,0,5.573954825171762,False,True,"(5.483, 5.621]"
NZ_CP100450.1,118989,0,5.075506814668906,False,True,"(5.069, 5.207]"
NZ_CP100451.1,159483,0,5.202714396486165,False,True,"(5.069, 5.207]"
NZ_CP100452.1,94505,0,4.975454786445402,False,True,"(4.931, 5.069]"
NZ_CP100453.1,10819,0,4.034187120793453,False,True,"(3.966, 4.103]"
NZ_CP100466.1,412702,0,5.615636573522095,False,True,"(5.483, 5.621]"
NZ_CP100467.1,358865,0,5.554931103782994,False,True,"(5.483, 5.621]"
NZ_CP100468.1,79760,0,4.9017851453036,False,True,"(4.793, 4.931]"
NZ_CP100455.1,617328,0,5.790515975605882,False,True,"(5.759, 5.897]"
NZ_CP100456.1,104301,0,5.018288472303808,False,True,"(4.931, 5.069]"
NZ_CP100457.1,144667,1,5.160369475470225,True,True,"(5.069, 5.207]"
NZ_CP100458.1,81511,0,4.911216221217763,False,True,"(4.793, 4.931]"
NZ_CP100459.1,95860,0,4.981637424655769,False,True,"(4.931, 5.069]"
NZ_CP100460.1,16726,0,4.223392092448771,False,True,"(4.103, 4.241]"
NZ_CP100462.1,437029,1,5.640510256471788,True,True,"(5.621, 5.759]"
NZ_CP100463.1,321259,0,5.506855303173862,False,True,"(5.483, 5.621]"
NZ_CP100464.1,145366,0,5.162462840229491,False,True,"(5.069, 5.207]"
NZ_CP100757.1,1617347,0,6.208803207301445,False,True,"(6.172, 6.31]"
NZ_CP100758.1,164919,0,5.217270692756785,False,True,"(5.207, 5.345]"
NZ_CP101157.1,72491,0,4.860284090805986,False,True,"(4.793, 4.931]"
NZ_CP101158.1,104885,0,5.02071338254025,False,True,"(4.931, 5.069]"
NZ_CP101159.1,99460,0,4.997648454896206,False,True,"(4.931, 5.069]"
NZ_CP101160.1,417097,0,5.620237066162947,False,True,"(5.483, 5.621]"
NZ_CP101162.1,288219,1,5.459722607023317,True,True,"(5.345, 5.483]"
NZ_CP101163.1,148726,0,5.1723868977047305,False,True,"(5.069, 5.207]"
NZ_CP101164.1,167501,0,5.224017404168001,False,True,"(5.207, 5.345]"
NZ_CP101165.1,51715,0,4.713616529020051,False,True,"(4.655, 4.793]"
NZ_CP101167.1,126082,0,5.100653089279955,False,True,"(5.069, 5.207]"
NZ_CP101168.1,139870,0,5.145724574880668,False,True,"(5.069, 5.207]"
NZ_CP101155.1,147277,0,5.168134929103268,False,True,"(5.069, 5.207]"
NZ_CP101324.1,107365,0,5.030862728438235,False,True,"(4.931, 5.069]"
NZ_CP101455.1,165337,0,5.218370053194584,False,True,"(5.207, 5.345]"
NZ_CP101457.1,133578,0,5.1257349366922265,False,True,"(5.069, 5.207]"
NZ_CP101459.1,768154,0,5.885448296392915,False,True,"(5.759, 5.897]"
NZ_CP101460.1,240954,0,5.381934140280341,False,True,"(5.345, 5.483]"
NZ_CP101826.1,241318,0,5.382589717305053,False,True,"(5.345, 5.483]"
NZ_CP078064.1,344046,0,5.536616512951119,False,True,"(5.483, 5.621]"
NZ_CP078065.1,327798,0,5.5156062994736095,False,True,"(5.483, 5.621]"
NZ_CP104004.1,249332,0,5.396778020708204,False,True,"(5.345, 5.483]"
NZ_CP111037.1,394338,0,5.595868629457524,False,True,"(5.483, 5.621]"
NZ_CP111038.1,142345,0,5.153342216754863,False,True,"(5.069, 5.207]"
NZ_CP111039.1,80215,0,4.904255587836544,False,True,"(4.793, 4.931]"
NZ_CP111040.1,606999,2,5.783187975597762,True,True,"(5.759, 5.897]"
NZ_CP111041.1,557465,1,5.746217605739882,True,True,"(5.621, 5.759]"
NZ_CP111042.1,389240,1,5.5902174638847155,True,True,"(5.483, 5.621]"
NZ_CP112973.1,188763,1,5.275916870944128,True,True,"(5.207, 5.345]"
NZ_CP112974.1,135744,1,5.132720642500449,True,True,"(5.069, 5.207]"
NZ_CP112975.1,117008,1,5.0682155560801725,True,True,"(4.931, 5.069]"
NZ_CP064336.1,11015,0,4.041984501486787,False,True,"(3.966, 4.103]"
NZ_CP069377.1,4441,0,3.647480773173676,False,True,"(3.552, 3.69]"
NZ_CP071308.1,99700,0,4.998695158311656,False,True,"(4.931, 5.069]"
NZ_CP071309.1,84896,0,4.928887228302235,False,True,"(4.793, 4.931]"
